ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,merged,split,missed,spurious,dataset,method,marker_mode,min_distance,n_markers,n_fg_components,n_components_rescued,runtime_s,source,remove_size_threshold
0.034658511722731905,0.003956478733926805,34,651,296,4,681,326,685,330,0.2580542296211626,4,32,296,490,nuclei,qep_q1.5,legacy_none,,0,247,0,0.5707888603210449,round1_saved_binary,50
0.1467065868263473,0.03513513513513514,98,338,232,26,410,304,436,330,0.36079326258022293,9,46,232,178,nuclei,qep_q1.5,peak,3.0,513,247,0,0.2599160671234131,round1_saved_binary,50
0.22103386809269163,0.06366459627329192,124,231,206,41,314,289,355,330,0.39477540319787163,12,28,206,108,nuclei,qep_q1.5,peak,5.0,391,247,1,0.2228679656982422,round1_saved_binary,50
0.2707509881422925,0.07705192629815745,137,176,193,46,267,284,313,330,0.41150344820628615,15,18,193,73,nuclei,qep_q1.5,peak,7.0,340,247,2,0.2082669734954834,round1_saved_binary,50
0.30833333333333335,0.0846286701208981,148,150,182,49,249,281,298,330,0.42184997587389667,15,10,182,64,nuclei,qep_q1.5,peak,9.0,319,247,5,0.20690202713012695,round1_saved_binary,50
0.32456140350877194,0.08828828828828829,148,126,182,49,225,281,274,330,0.4247726811327217,18,4,182,46,nuclei,qep_q1.5,peak,12.0,294,247,7,0.1902787685394287,round1_saved_binary,50
0.3348314606741573,0.08990825688073395,149,115,181,49,215,281,264,330,0.42353653641142486,21,2,181,40,nuclei,qep_q1.5,peak,15.0,283,247,11,0.19390010833740234,round1_saved_binary,50
0.12472406181015452,0.012922465208747515,113,503,290,13,603,390,616,403,0.3792647389032144,21,58,290,270,whole_cell,raw,legacy_none,,0,376,0,0.353924036026001,round1_saved_binary,50
0.23038605230386053,0.04439746300211417,185,400,218,42,543,361,585,403,0.4906047768518985,37,81,218,165,whole_cell,raw,peak,3.0,1137,376,50,0.19993019104003906,round1_saved_binary,50
0.3803486529318542,0.06740196078431372,240,228,163,55,413,348,468,403,0.5471647330544741,49,56,163,75,whole_cell,raw,peak,5.0,748,376,112,0.1378796100616455,round1_saved_binary,50
0.4602587800369686,0.08367626886145405,249,138,154,61,326,342,387,403,0.5525035591890894,58,28,154,34,whole_cell,raw,peak,7.0,606,376,150,0.11881113052368164,round1_saved_binary,50
0.47808764940239046,0.08638360175695461,240,99,163,59,280,344,339,403,0.5376113188585235,71,14,163,20,whole_cell,raw,peak,9.0,543,376,170,0.10884404182434082,round1_saved_binary,50
0.4268292682926829,0.07668711656441718,210,89,193,50,249,353,299,403,0.5024237890837331,82,8,193,11,whole_cell,raw,peak,12.0,497,376,190,0.10524487495422363,round1_saved_binary,50
0.39748953974895396,0.06539074960127592,190,75,213,41,224,362,265,403,0.46536651322904227,86,2,213,5,whole_cell,raw,peak,15.0,460,376,208,0.10236287117004395,round1_saved_binary,50
0.11583421891604676,0.01842870999030068,109,538,294,19,628,384,647,403,0.3997815738283223,42,73,294,260,whole_cell,gp_legacy,legacy_none,,0,158,0,0.2702450752258301,round1_saved_binary,50
