arm,iter,loss,raw_lengthscale,lengthscale,raw_outputscale,outputscale,raw_noise,noise,mean_constant
gp,0,,0.0,0.6931471805599453,0.0,0.6931471805599453,0.0,0.6932471805599453,0.0
gp,1,1.2973954690933358,-0.09999998438770252,0.6443966674897371,0.09999993448131829,0.7443966256776271,0.09999995651707554,0.7444966372459407,-0.09999919256333135
gp,2,1.2886704872525054,-0.20005877383822862,0.5981124118252792,0.19994664548909374,0.7981095336098895,0.1341007923251044,0.7625437722335783,-0.19938894644021038
gp,3,1.280957474025814,-0.3003092409817574,0.5542236563432246,0.29997197885900295,0.8543391480297414,0.10794998805203272,0.7486781178486015,-0.2977593628587107
gp,4,1.2714245903695962,-0.4008864485609297,0.5126596040456399,0.40024080231612585,0.9131594247408837,0.055230724140900654,0.7212437982871152,-0.3946129778925378
gp,5,1.2592769957852563,-0.5018846086163622,0.47336588505557575,0.5008663383807145,0.9746163327730214,-0.010476108143682834,0.6880228450306007,-0.4892084032885725
gp,6,1.2469330123339226,-0.6033738126257185,0.4362937629120285,0.6018637830949494,1.0386917110850882,-0.08227135463532101,0.6529573367114968,-0.5804733755321021
gp,7,1.2339002424588872,-0.705418792378598,0.4013912804457884,0.7032335806067262,1.1053478466063305,-0.15515135111686393,0.6186774845427558,-0.6669447240075117
gp,8,1.220541545354861,-0.8081067170502927,0.3685943985111618,0.8050216622745787,1.1745681801433963,-0.22482010925938323,0.5871418750341021,-0.7467328404908209
gp,9,1.2053194868400279,-0.9115382576646035,0.3378323926541204,0.9073765162782029,1.2464037904486869,-0.2887415865157188,0.5592618479300654,-0.8175189123292698
gp,10,1.189128216932432,-1.015784992400227,0.3090408840799164,1.0104475982547267,1.3209102068855676,-0.34727444221926845,0.5346097539504658,-0.8766338736146349
gp,11,1.1694516185265866,-1.1208816948567861,0.2821610412123371,1.1144129569839027,1.3981682063890573,-0.4045037418500727,0.5113102811833415,-0.9213236359687137
gp,12,1.1483770080577749,-1.2268804229883967,0.2571242755410635,1.2193504533629005,1.4781869602814037,-0.46560030665007435,0.4873036967568579,-0.9492684103075424
gp,13,1.123519854379138,-1.333832352501441,0.2338584459772816,1.3253442391613575,1.560978634104102,-0.5348948057894667,0.4611454382015679,-0.959192360853281
gp,14,1.092336560146401,-1.4418109967601302,0.2122840571269791,1.4324582298381965,1.6465379229153991,-0.6133821476754502,0.43286652966972883,-0.9512880668463055
gp,15,1.058688889221364,-1.5509007865067024,0.19231880882413802,1.5406924559739628,1.734804813387453,-0.6994358635328993,0.40347327154569484,-0.9271663974024609
gp,16,1.0174043884286192,-1.6611804539937227,0.17388159212140947,1.6500670100642207,1.8257306518615326,-0.7909689040035702,0.3740092694425286,-0.8891608477015583
gp,17,0.9623072764294369,-1.772695435945944,0.15689646559818016,1.7606462338996853,1.91930136928852,-0.8862884533109705,0.3452365589996004,-0.8394463552986695
gp,18,0.9180711411057091,-1.8855063530180465,0.14128443478445027,1.8722779635826419,2.015315382076981,-0.9848226078540083,0.3174662148951179,-0.7792918806046617
