dataset,image,method,label,q,ap50,ap75,tp50,fp50,fn50,tp75,fp75,fn75,n_pred,n_gt,mean_matched_iou,runtime_s,rmse_to_raw,min_distance,marker_mode,provenance,merged,split,missed,spurious,lengthscale_mean,noise_mean,threshold_pct_mean,n_markers,n_components_rescued
nuclei,nuclei_figure_5,gp_legacy,GP-legacy-config,2.0,0.7017543859649122,0.17338709677419356,120,20,31,43,97,108,140,151,0.6321583011627119,637.4651463031769,13.468441499471384,15.0,peak,this run,11,3,31,0,0.04869797868202494,2.769692825261261,0.33666666666666667,141.0,1.0
whole_cell,whole_cell_figure_2,imagej,ImageJ (saved masks),,0.07262569832402235,0.010526315789473684,13,138,28,2,149,39,151,41,0.4403960193299307,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",1,0,28,115,,,,,
whole_cell,whole_cell_figure_2,raw,Raw,,0.13836477987421383,0.016853932584269662,22,118,19,3,137,38,140,41,0.49142942441182164,0.6348941326141357,0.0,9.0,peak,cached,2,1,19,103,,,,,
whole_cell,whole_cell_figure_2,gp,GP,2.0,0.12413793103448276,0.025157232704402517,18,104,23,4,118,37,122,41,0.4811570320890842,635.0672180652618,6.2464132212245564,9.0,peak,this run,2,2,23,85,0.055427227635506546,0.026092144275989368,0.22000000000000003,159.0,15.0
whole_cell,whole_cell_figure_2,qep,QEP q=2,2.0,0.12413793103448276,0.025157232704402517,18,104,23,4,118,37,122,41,0.4811570320890842,631.8713757991791,6.2464132212245564,9.0,peak,this run,2,2,23,85,0.055427227635506546,0.026092144275989368,0.22000000000000003,159.0,15.0
whole_cell,whole_cell_figure_2,qep,QEP q=1.5,1.5,0.1292517006802721,0.031055900621118012,19,106,22,5,120,36,125,41,0.48553860201995225,650.1959888935089,6.494441824826615,9.0,peak,this run,2,4,22,85,0.09616202889803063,0.0024068694872715997,0.21800000000000003,155.0,13.0
whole_cell,whole_cell_figure_2,gp_legacy,GP-legacy-config,2.0,0.16,0.02112676056338028,20,84,21,3,101,38,104,41,0.48545757547657364,630.26731300354,8.155021202152001,9.0,peak,this run,3,4,21,66,0.05083596303842209,2.5417973734911152,0.235625,121.0,6.0
whole_cell,whole_cell_figure_3,imagej,ImageJ (saved masks),,0.08769633507853403,0.0,67,347,350,0,414,417,414,417,0.4002697453080842,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",26,0,350,57,,,,,
whole_cell,whole_cell_figure_3,raw,Raw,,0.47297297297297297,0.03387533875338753,245,101,172,25,321,392,346,417,0.5064109193867847,0.14564776420593262,0.0,9.0,peak,cached,51,6,172,7,,,,,
whole_cell,whole_cell_figure_3,gp,GP,2.0,0.42407407407407405,0.05342465753424658,229,123,188,39,313,378,352,417,0.5082928926302437,358.06856298446655,9.53157130710624,9.0,peak,this run,54,6,188,11,0.03038894426038003,0.008071341026192273,0.23333333333333328,391.0,22.0
whole_cell,whole_cell_figure_3,qep,QEP q=2,2.0,0.42407407407407405,0.05342465753424658,229,123,188,39,313,378,352,417,0.5082928926302437,359.20499992370605,9.53157130710624,9.0,peak,this run,54,6,188,11,0.03038894426038003,0.008071341026192273,0.23333333333333328,391.0,22.0
whole_cell,whole_cell_figure_3,qep,QEP q=1.5,1.5,0.4029574861367837,0.055632823365785816,218,124,199,40,302,377,342,417,0.49681766171524455,357.0279817581177,9.851840537734178,9.0,peak,this run,61,7,199,11,0.03095098143334874,0.0017339599558165364,0.21888888888888888,374.0,21.0
whole_cell,whole_cell_figure_3,gp_legacy,GP-legacy-config,2.0,0.36065573770491804,0.06258890469416785,198,132,219,44,286,373,330,417,0.4772400233892381,355.56571793556213,13.556070473351905,9.0,peak,this run,72,12,219,19,0.026518562726580083,2.68110777825091,0.21777777777777776,348.0,6.0
whole_cell,whole_cell_figure_4,imagej,ImageJ (saved masks),,0.10820895522388059,0.020618556701030927,29,195,44,6,218,67,224,73,0.4450569784839221,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",8,4,44,169,,,,,
whole_cell,whole_cell_figure_4,raw,Raw,,0.15168539325842698,0.04591836734693878,27,105,46,9,123,64,132,73,0.44401690432949953,0.9527051448822021,0.0,9.0,peak,cached,4,13,46,62,,,,,
whole_cell,whole_cell_figure_4,gp,GP,2.0,0.23943661971830985,0.05389221556886228,34,69,39,9,94,64,103,73,0.47536098411756844,640.538327217102,5.557941536257541,9.0,peak,this run,11,10,39,39,0.07965874709663093,0.07113678662923395,0.362,113.0,1.0
whole_cell,whole_cell_figure_4,qep,QEP q=2,2.0,0.23943661971830985,0.05389221556886228,34,69,39,9,94,64,103,73,0.47536098411756844,642.1212968826294,5.557941536257541,9.0,peak,this run,11,10,39,39,0.07965874709663093,0.07113678662923395,0.362,113.0,1.0
whole_cell,whole_cell_figure_4,qep,QEP q=1.5,1.5,0.2361111111111111,0.04093567251461988,34,71,39,7,98,66,105,73,0.4676846009297338,650.729287147522,5.601251477754182,9.0,peak,this run,12,8,39,43,0.1286251035750044,0.004618616704732724,0.3628571428571429,112.0,1.0
whole_cell,whole_cell_figure_4,gp_legacy,GP-legacy-config,2.0,0.24603174603174602,0.04666666666666667,31,53,42,7,77,66,84,73,0.44836817294531706,640.6140379905701,6.192248634910878,9.0,peak,this run,13,11,42,20,0.07567834399981305,2.69131957414103,0.388125,87.0,0.0
whole_cell,whole_cell_figure_5,imagej,ImageJ (saved masks),,0.05333333333333334,0.0025380710659898475,20,286,69,1,305,88,306,89,0.41214697244662907,0.0,,,n/a,"pre-existing original_ImageJ_masks.tif; produced outside this repo, any manual tuning unknown",3,3,69,227,,,,,
whole_cell,whole_cell_figure_5,raw,Raw,,0.11956521739130435,0.023178807947019868,33,187,56,7,213,82,220,89,0.46297362140755105,0.5934262275695801,0.0,9.0,peak,cached,3,7,56,138,,,,,
whole_cell,whole_cell_figure_5,gp,GP,2.0,0.09615384615384616,0.01483679525222552,30,223,59,5,248,84,253,89,0.42240069954762216,642.4406051635742,8.720517055778144,9.0,peak,this run,4,9,59,175,0.045197530411913704,0.019947386722915468,0.23249999999999998,309.0,14.0
whole_cell,whole_cell_figure_5,qep,QEP q=2,2.0,0.09615384615384616,0.01483679525222552,30,223,59,5,248,84,253,89,0.42240069954762216,641.9659440517426,8.720517055778144,9.0,peak,this run,4,9,59,175,0.045197530411913704,0.019947386722915468,0.23249999999999998,309.0,14.0
whole_cell,whole_cell_figure_5,qep,QEP q=1.5,1.5,0.09797297297297297,0.015625,29,207,60,5,231,84,236,89,0.42842035362549713,649.001170873642,9.008091302265816,9.0,peak,this run,5,9,60,157,0.07141634047327133,0.002203331300203911,0.2306666666666667,272.0,4.0
whole_cell,whole_cell_figure_5,gp_legacy,GP-legacy-config,2.0,0.1037037037037037,0.010169491525423728,28,181,61,3,206,86,209,89,0.43102038946939575,636.4399461746216,10.757638599339518,9.0,peak,this run,7,13,61,126,0.040097718248513894,2.545475365267387,0.21125,229.0,7.0
