"tile","i","j","x_offset","y_offset","h","w","pct_selected","abs_threshold","tile_max","n_connected","fg_fraction"
1,1,1,0,0,200,200,0.24,0.215529411764706,0.898039215686275,43,0.297224999999989
2,1,2,0,200,200,200,0.15,0.133529411764706,0.890196078431372,55,0.225999999999968
3,1,3,0,400,200,200,0.19,0.165411764705882,0.870588235294118,47,0.270175000000005
4,2,1,200,0,200,200,0.11,0.0983529411764706,0.894117647058824,107,0.574224999999991
5,2,2,200,200,200,200,0.23,0.204745098039216,0.890196078431372,49,0.287875000000003
6,2,3,200,400,200,200,0.07,0.059843137254902,0.854901960784314,44,0.660575000000001
7,3,1,400,0,200,200,0.12,0.105411764705882,0.87843137254902,66,0.632699999999938
8,3,2,400,200,200,200,0.19,0.155725490196078,0.819607843137255,39,0.418275000000006
9,3,3,400,400,200,200,0.25,0.222549019607843,0.890196078431372,44,0.244399999999989
