dataset,image,region_class,site_r,site_c,site_size,n_query,S1_mean,base_grad_raw,base_grad_fastgp,base_grad_dist,S2_mean_q2.0,S2_se_q2.0,S3_p90_q2.0,S3_p90_se_q2.0,S3_p95_q2.0,S3_p95_se_q2.0,S3_p99_q2.0,S3_p99_se_q2.0,S2_mean_q1.5,S2_se_q1.5,S3_p90_q1.5,S3_p90_se_q1.5,S3_p95_q1.5,S3_p95_se_q1.5,S3_p99_q1.5,S3_p99_se_q1.5
nuclei,nuclei_figure_1,A_merged_interface,553,62,92,81,3.125754288753484,7.216965869054966,2.8663067020586737,0.8973776812260308,3.2485579785051195,0.004190008382007261,0.1306271604938272,0.0012308680740565892,0.01642962962962963,0.0004763349649764821,6.17283950617284e-07,6.172685183256124e-07,3.3163286579178237,0.005309626351653154,0.14354691358024693,0.001450289162609846,0.031437654320987655,0.0007673421129098202,0.0004703703703703704,8.772373878984413e-05
nuclei,nuclei_figure_1,A_merged_interface,444,196,92,81,3.7587987923365533,6.738167678720286,3.691773954845876,0.9066854639455294,3.843950786125314,0.004334169439627148,0.2387432098765432,0.0012146448396264413,0.10788148148148148,0.0007705490388332376,0.007265432098765432,0.00015107324087541293,3.8959128035912967,0.005472649647865527,0.24773703703703706,0.0014846087824817399,0.11916049382716051,0.0010548145653313525,0.011337037037037038,0.00029726198168615326
nuclei,nuclei_figure_1,A_merged_interface,562,52,83,81,3.7323738204277976,6.738408754407729,3.7384180763238035,0.8941577726489802,3.8391879665314894,0.004189078941908862,0.32911296296296294,0.0011603813680889639,0.14675061728395064,0.0012091200640671072,0.0008753086419753085,9.177846457512444e-05,3.8986336858371793,0.005301969203880944,0.3279012345679012,0.0014080914567229624,0.1564246913580247,0.0013705827871917668,0.005621604938271605,0.00030696113560480323
nuclei,nuclei_figure_1,A_merged_interface,801,200,71,81,3.444433671917433,6.752878865326363,2.7984100987575795,0.9192096632643053,3.5319324631429017,0.004347274879438454,0.19806543209876545,0.0009978752521019056,0.0717179012345679,0.0007637458720237594,0.00024382716049382717,3.990261808268174e-05,3.5862897453319125,0.005478731693561747,0.20253950617283956,0.0012808610810130141,0.08106049382716049,0.0009621175100780172,0.002760493827160494,0.00018171968678404597
nuclei,nuclei_figure_1,A_merged_interface,365,495,66,81,1.8121451968007753,6.029306005334642,1.901410781215233,0.8998521828630195,1.9713846016189402,0.004161294443456013,0.00059320987654321,5.9611544484374175e-05,5.555555555555556e-06,3.002000087268815e-06,0.0,0.0,2.0652366383582823,0.005187321842792742,0.004151234567901235,0.0002699533488592236,0.00046728395061728403,7.794166824693517e-05,1.234567901234568e-06,1.2345370366512249e-06
nuclei,nuclei_figure_1,A_merged_interface,738,114,64,81,2.206902409146022,6.68089018624127,2.2635950269514407,0.8825178134045792,2.3264855267227387,0.004193249143503277,0.001054320987654321,6.620354892264844e-05,1.2962962962962962e-05,4.500554698241192e-06,0.0,0.0,2.4016959678355976,0.005247049196314953,0.005125308641975308,0.00033517495401485994,0.000537037037037037,9.138938509686923e-05,3.703703703703704e-06,3.3420017584426477e-06
nuclei,nuclei_figure_1,A_merged_interface,693,654,64,81,3.9926210181402144,6.576600529452812,4.0836232256796405,0.9129111419548807,4.064067797896499,0.0045312170213595016,0.23883333333333331,0.0017172217982329625,0.06425432098765432,0.000939968476526253,0.0001574074074074074,3.3695608416153126e-05,4.1074554508664445,0.005733559737507424,0.25176049382716054,0.0019806115980230544,0.08282283950617285,0.0013001869938532914,0.002419135802469136,0.0002122179482118431
nuclei,nuclei_figure_1,A_merged_interface,450,391,64,81,4.477194816540019,7.618484206481245,3.600489908586969,0.8931056507842571,4.551690961476978,0.004377692621679956,0.4057660493827161,0.0012501756091132582,0.23632530864197532,0.0011426849889311919,0.04174567901234568,0.00045625877511636814,4.595919992840948,0.005543172368512491,0.4086981481481481,0.0015366798945203584,0.24421172839506172,0.0014165168088212327,0.04845061728395062,0.0006619254024343863
nuclei,nuclei_figure_1,A_merged_interface,817,187,59,81,2.119833054921486,5.241672743840066,1.9069760028830078,0.8991234336039375,2.2647017563273404,0.004127704089390951,0.03697098765432099,0.0002944062707573072,0.00878456790123457,0.00014551551759979433,1.234567901234568e-05,3.8578194721508465e-06,2.349220909786818,0.005177545170740096,0.04071481481481481,0.0004769713741529813,0.011855555555555553,0.00024087812495767334,0.00030432098765432097,3.0993682155626805e-05
nuclei,nuclei_figure_1,A_merged_interface,1007,40,56,81,1.9572620989134426,7.729182729524868,1.830474255143482,0.9033081614551284,2.1061885641668443,0.00420055513557346,0.0002024691358024691,3.8244039280137785e-05,1.851851851851852e-06,1.4901962034658106e-06,0.0,0.0,2.1920641931447737,0.005254199903022215,0.0032456790123456787,0.00028032907689620214,0.0003222222222222222,7.275649848294984e-05,1.234567901234568e-06,8.729276851401981e-07
