dataset,image,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,n_query_on_band,S1,base_grad_raw,base_grad_fastgp,base_grad_dist,S2_q2.0,S3_p90_q2.0,S3_p95_q2.0,S3_p99_q2.0,S2_q1.5,S3_p90_q1.5,S3_p95_q1.5,S3_p99_q1.5
nuclei,nuclei_figure_1,2,3,True,48,-0.0014534883721069036,14,2.7898207815764526,4.174790561212608,2.5154877586750226,0.9738175576999838,2.872450314866614,0.004339285714285714,5.714285714285715e-05,0.0,2.9275956915636607,0.015078571428571427,0.0018392857142857145,3.5714285714285718e-06
nuclei,nuclei_figure_1,3,16,False,13,15.35982834817139,13,1.5516991158307012,3.7148341202425277,1.576041641780692,0.11538461538461539,1.7122074684475177,0.0,0.0,0.0,1.8111353732574582,0.0003769230769230769,5.769230769230769e-05,0.0
nuclei,nuclei_figure_1,4,5,True,47,6.248723812635291,26,1.994691821703689,3.233521749770028,1.982437725632064,0.8843628550242795,2.1395004089974075,0.00014615384615384618,0.0,0.0,2.223330615643627,0.0034557692307692306,0.0003115384615384615,0.0
nuclei,nuclei_figure_1,15,19,True,52,-8.62177378542512,29,2.549986000436336,5.146007839533563,2.5483470772009955,0.9361041964215107,2.679115315438973,0.04321896551724138,0.004908620689655172,0.0,2.752279557985988,0.053608620689655176,0.011039655172413794,0.00015172413793103446
nuclei,nuclei_figure_1,15,28,False,18,9.413536776212823,18,2.1565151471657864,4.868957027661051,2.1242537879752077,0.8811991480847049,2.2929967599731182,0.00035555555555555557,0.0,0.0,2.371397268495334,0.004522222222222223,0.00041944444444444435,0.0
nuclei,nuclei_figure_1,16,25,True,44,-3.586638194020736,20,2.0522334949682812,4.488251064958594,1.901761040060776,0.8771891645545205,2.1765601755064514,9.75e-05,0.0,0.0,2.2532960271856246,0.0024425,0.0001875,0.0
nuclei,nuclei_figure_1,24,27,True,54,5.744403368248101,31,1.1185717781025095,2.44921543478312,1.1134654572740632,0.9490359000732934,1.3507469369883915,0.0,0.0,0.0,1.4774895244729376,0.00010967741935483871,9.67741935483871e-06,0.0
nuclei,nuclei_figure_1,40,46,True,37,18.31296377127893,25,1.995532720209469,5.254498838247838,1.7685993079042372,0.6465379127074473,2.151660242929729,0.002232,2e-05,0.0,2.240732962842432,0.009281999999999999,0.0011619999999999998,1.2e-05
nuclei,nuclei_figure_1,46,52,False,28,8.506540447504307,27,3.4289770573694054,6.501441206655331,3.2452881914803053,0.6939665244544903,3.4952344777188733,0.04252592592592593,0.002637037037037037,1.8518518518518519e-06,3.538925546554977,0.06399999999999999,0.010903703703703704,0.00012037037037037039
nuclei,nuclei_figure_1,52,55,False,36,14.033361865166682,31,2.196221778547173,5.009251655670758,2.141689655384151,0.4609188805988727,2.3518863558261347,0.009604838709677418,0.00029193548387096776,0.0,2.4356863613487594,0.018930645161290317,0.002675806451612903,1.6129032258064517e-05
