dataset,method,delta_ap50_C_minus_P,delta_ap75_C_minus_P
nuclei,raw,0.2918600368324126,0.20902463549522374
nuclei,fastgp,-0.02794622706309491,0.03044174016597817
nuclei,q2,0.16499999999999998,0.13240368027602073
nuclei,q15,0.058706437001201706,0.11115174096798283
whole_cell,raw,0.09848858801682997,-0.05082326151690314
whole_cell,fastgp,-0.056256756932775875,-0.10091402662012569
whole_cell,q2,-0.046670366687479314,-0.13616087894159049
whole_cell,q15,-0.0405426328890795,-0.09510149841909911
