dataset,gt_id_1,gt_id_2,merged,seed,interface_len_px,gradmu_q2_interface,gradmu_q2_interior,gradmu_q2_contrast,gradmu_q15_interface,gradmu_q15_interior,gradmu_q15_contrast,gradmu_contrast_gain_q15_minus_q2,grad_raw_interface,grad_raw_interior,grad_raw_contrast,grad_fastgp_interface,grad_fastgp_interior,grad_fastgp_contrast
nuclei,293,299,True,73,35,4.773493461132789,2.5420163079884124,2.2314771531443767,4.603700670580778,2.6876017302184847,1.9160989403622937,-0.315378212782083,6.789863596709601,5.967415932630815,0.8224476640787861,4.6557047869758295,2.7869690232319835,1.868735763743846
nuclei,293,299,True,137,35,4.590707432018098,2.4720652827184906,2.1186421492996073,4.626997974574675,2.6446377946892103,1.982360179885465,-0.13628196941414217,6.789863596709601,5.967415932630815,0.8224476640787861,4.6557047869758295,2.7869690232319835,1.868735763743846
nuclei,293,299,True,211,35,4.519136797131632,2.5297819718742636,1.9893548252573687,4.677443938464898,2.725991588871452,1.951452349593446,-0.0379024756639228,6.789863596709601,5.967415932630815,0.8224476640787861,4.6557047869758295,2.7869690232319835,1.868735763743846
nuclei,15,19,True,73,52,4.276110507679347,2.9399074462895096,1.336203061389837,4.14910954577233,3.0199701077989607,1.129139437973369,-0.207063623416468,6.4659960488097985,6.400115754317734,0.06588029449206445,4.215902508095295,3.3437639061669198,0.8721386019283757
nuclei,15,19,True,137,52,4.207720297434031,2.977570474787761,1.2301498226462702,4.019201010840191,3.02561022128667,0.993590789553521,-0.23655903309274917,6.4659960488097985,6.400115754317734,0.06588029449206445,4.215902508095295,3.3437639061669198,0.8721386019283757
nuclei,15,19,True,211,52,4.086517831061515,2.7550816282287403,1.331436202832775,4.07407888101478,2.929851387822398,1.1442274931923824,-0.1872087096403927,6.4659960488097985,6.400115754317734,0.06588029449206445,4.215902508095295,3.3437639061669198,0.8721386019283757
nuclei,288,292,True,73,56,2.3249471981793235,1.9378304193493963,0.38711677882992723,1.9853819775936385,1.9347473043040666,0.05063467328957194,-0.3364821055403553,7.6189862918953155,5.774752320758083,1.8442339711372329,2.2259570015425187,2.109572176246497,0.11638482529602179
nuclei,288,292,True,137,56,2.240076116977806,1.6789871620834087,0.5610889548943971,2.000343055091379,1.5920561285235073,0.4082869265678717,-0.15280202832652545,7.6189862918953155,5.774752320758083,1.8442339711372329,2.2259570015425187,2.109572176246497,0.11638482529602179
nuclei,288,292,True,211,56,2.34984385237869,1.6279875238423,0.7218563285363901,1.9354159466148217,1.8252269133807282,0.11018903323409357,-0.6116672953022966,7.6189862918953155,5.774752320758083,1.8442339711372329,2.2259570015425187,2.109572176246497,0.11638482529602179
nuclei,164,165,True,73,92,3.3345771771721306,1.4905131490966992,1.8440640280754315,3.2643356754244195,1.5281133384925316,1.7362223369318879,-0.10784169114354358,6.952654190296872,5.301436529258467,1.6512176610384053,3.526105494805044,2.0960505823844935,1.4300549124205504
nuclei,164,165,True,137,92,3.472410309422209,1.4766359222352852,1.995774387186924,3.441880242614792,1.5709688480992179,1.8709113945155742,-0.12486299267134982,6.952654190296872,5.301436529258467,1.6512176610384053,3.526105494805044,2.0960505823844935,1.4300549124205504
nuclei,164,165,True,211,92,3.456287093480431,1.5092329580875337,1.9470541353928974,3.4736215722992814,1.6755459638991441,1.7980756084001372,-0.14897852699276015,6.952654190296872,5.301436529258467,1.6512176610384053,3.526105494805044,2.0960505823844935,1.4300549124205504
nuclei,196,205,False,73,4,2.4241236089876206,3.849349482845786,-1.4252258738581656,2.39077252598887,3.9631558650829057,-1.5723833390940358,-0.14715746523587026,6.121222085573454,5.962713625978533,0.15850845959492066,2.330885763026396,4.361555641181873,-2.030669878155477
nuclei,196,205,False,137,4,2.30545361211394,3.8908778353503704,-1.5854242232364304,2.197663790485137,3.944751644417186,-1.7470878539320491,-0.16166363069561873,6.121222085573454,5.962713625978533,0.15850845959492066,2.330885763026396,4.361555641181873,-2.030669878155477
nuclei,196,205,False,211,4,2.114007709385049,3.7647296529323198,-1.6507219435472709,1.7202214086471288,4.06131913356437,-2.3410977249172413,-0.6903757813699705,6.121222085573454,5.962713625978533,0.15850845959492066,2.330885763026396,4.361555641181873,-2.030669878155477
nuclei,260,261,False,73,27,2.6611900993715363,2.0024813768457674,0.6587087225257688,2.362175363584835,1.9505475468968227,0.41162781668801207,-0.24708090583775677,4.623543690552054,4.606664467521258,0.01687922303079681,2.3224891443741584,2.1142814147728144,0.20820772960134404
nuclei,260,261,False,137,27,2.5719665669460965,2.0351534994034917,0.5368130675426048,2.079109506136597,1.9330193956147628,0.14609011052183418,-0.39072295702077064,4.623543690552054,4.606664467521258,0.01687922303079681,2.3224891443741584,2.1142814147728144,0.20820772960134404
