dataset,statistic,mean_interface,mean_interior,contrast,cohen_d,auc,n
nuclei,|grad mu| q=2,3.6359856728390003,2.1614675205484835,1.4745181522905169,1.895731218149452,0.875,12
nuclei,|grad mu| q=1.5,3.520959207573832,2.263360110615531,1.2575990969583009,1.4658228951176808,0.875,12
nuclei,baseline |grad raw|,6.956875031927897,5.860930134241275,1.0959448976866222,2.573646223199261,1.0,12
nuclei,baseline |grad fastgp|,3.6559174478546725,2.5840889220074734,1.0718285258471991,1.3749390752772694,0.875,12
whole_cell,|grad mu| q=2,14.0726112223927,13.456720664017148,0.6158905583755523,0.16436624291358556,0.5763888888888888,12
whole_cell,|grad mu| q=1.5,14.179139687300562,13.388990846723956,0.790148840576606,0.22376697614832672,0.5972222222222222,12
whole_cell,baseline |grad raw|,19.03233797583885,12.540327491493214,6.492010484345636,2.3720909148276084,0.9375,12
whole_cell,baseline |grad fastgp|,18.706932083975392,12.426156710055361,6.280775373920031,2.2950352113812102,0.9375,12
