arm,power,final_loss,loss_finite,pred_finite,mean_absmax,mc_se_mean,mc_se_max,n_mc,n_batches,iters,seed
deep_q2.0,2.0,-0.2313988669037852,True,True,0.7747118260522696,0.0009647067843645408,0.0026594812152175343,64,12,400,73
deep_q1.5,1.5,-0.4536280312293398,True,True,0.8001791911224522,0.001552197998042915,0.004788290064193254,64,12,400,73
