dataset,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,seed,loss_q2,loss_q15,finite,max_abs_delta,mean_abs_delta,rmse_between,corr_between,mc_se_mean,mc_se_max,snr_mean,snr_max,nonuniform_sd_over_mean,mean_absdelta_interface,n_px_interface,mean_absdelta_interior,n_px_interior,mean_absdelta_background,n_px_background,mean_absdelta_patch_edge,n_px_patch_edge,localization_ratio,edge_over_interface
nuclei,24,27,True,54,5.744403368248101,73,0.3992112602139335,0.45854342213508614,True,3.2059944044740405,0.6706387764994397,0.8618062063249529,0.9980222313802111,0.08523404243933014,0.21176678903636015,7.868203329400955,15.13926909437898,0.8070691291352386,0.7525508711841832,54,0.7222552614125188,261,,0,0.7417645976594975,184,1.0419458484974067,0.9856670506437488
nuclei,164,165,True,92,2.711670480549202,73,0.7848391644613313,0.8265317383616371,True,2.0768154555519516,0.4101028430592527,0.5544856382161503,0.998767821232208,0.06638282714804868,0.20141763889455522,6.177845395837554,10.310990968567513,0.9099886557164955,0.5821693399648825,81,0.3677842172567465,226,,0,0.5351662453411862,184,1.5829100669604752,0.9192621606858725
nuclei,91,98,False,32,13.577328052550229,73,0.6198447062676511,0.6738686555616186,True,2.1654658379646605,0.5648050041845804,0.718599517440738,0.9988400511579621,0.06616532552221172,0.20200279676873603,8.536268804344886,10.719979488421666,0.7865995028132595,0.8685603547856022,32,0.5638435541653591,307,,0,0.6115050139151832,184,1.5404279225490238,0.7040443540231913
nuclei,294,299,False,86,3.962634591522232,73,1.0734530341598973,1.1121929064631588,True,3.101797413660506,0.6607723670542525,0.8255230371735671,0.9940834986126296,0.08609186921733006,0.2470302046787985,7.675200609086564,12.556348798292195,0.7488835474242993,0.9090849265250449,78,0.5514863325756197,270,,0,0.6596154381931558,184,1.648426937943002,0.7255817569371872
whole_cell,67,76,True,39,37.46071133167908,73,0.07044649720403866,0.12811978250949932,True,15.62569549034123,2.200333550415071,3.0802133936185423,0.9983646401610107,0.2877082674363424,0.9770243481842803,7.647793961645231,15.993148501754643,0.9796312203523043,1.8146117195529898,39,2.0104738466598704,61,0.39530998648493143,11,2.4698766065103843,184,0.9025791221147796,1.3611047365652482
whole_cell,133,141,True,83,-2.647221798586756,73,0.16602962982153777,0.3336010138057106,True,26.25093276772286,5.677107610671788,7.665726887131559,0.9857523904311876,0.33674938501978086,1.0486272113005355,16.858553759016697,25.03361774787987,0.9073456167887956,8.029547675164938,83,9.806244569983477,4,,0,3.8363999476980823,184,0.8188198466661808,0.4777853128095758
whole_cell,80,85,False,20,39.94183673469387,73,0.014829027813829783,-0.027708707184807307,True,8.802218034606852,2.1575186811070415,2.795872371744462,0.9983943728755585,0.29142891943641897,0.9047031990014601,7.403241535806975,9.729398596492247,0.8241901685575107,1.40553419144218,20,2.1552767638318975,188,,0,2.3106682781245844,184,0.652136289421717,1.6439787037508289
whole_cell,253,256,False,57,10.835157584226051,73,-0.002383930398874093,-0.02293489395463557,True,6.290329181230831,1.287887815339727,1.6554409958579923,0.9990754056999654,0.21344254655648295,0.6466542735594704,6.033885165434509,9.727499590478363,0.8076095558762382,1.6901337351040464,57,1.6070899444886335,35,0.43936374517942794,27,1.3520813204174806,184,1.0516733932037867,0.7999848132338742
