dataset,gt_id_1,gt_id_2,merged,interface_len_px,local_contrast,seed,loss_q2,loss_q15,finite,max_abs_delta,mean_abs_delta,rmse_between,corr_between,mc_se_mean,mc_se_max,snr_mean,snr_max,nonuniform_sd_over_mean,mean_absdelta_interface,n_px_interface,mean_absdelta_interior,n_px_interior,mean_absdelta_background,n_px_background,mean_absdelta_patch_edge,n_px_patch_edge,localization_ratio,edge_over_interface
nuclei,293,299,True,35,-2.1542367219686014,73,0.5513921404541016,0.5985879819817347,True,2.3281713913718534,0.6159580903760682,0.7911335187497709,0.9986760366907896,0.11156572567853984,0.28440973414213894,5.521033333757542,8.185976469456236,0.8060214821672202,0.5829746587613271,35,0.44118536851376794,244,,0,0.718940958531282,184,1.3213825760478148,1.2332284906840525
nuclei,293,299,True,35,-2.1542367219686014,137,0.5462456757161638,0.6170954845612753,True,3.907132869439039,0.9653269097400607,1.2066475057870227,0.9972077434114602,0.10865664599622141,0.3387025333282811,8.884195723965476,11.535587971679336,0.7499807811577951,1.1141082537090394,35,0.7486235402760855,244,,0,1.0129178606630853,184,1.4882089511881587,0.9091736438455819
nuclei,293,299,True,35,-2.1542367219686014,211,0.5528138216625759,0.5946400765287779,True,3.937374634699779,0.9828400292886298,1.2434776415428843,0.9968758641017981,0.10280642849950627,0.3214980610196692,9.560102842142307,12.246962305812758,0.7750492042136541,1.5426221257969261,35,0.8106056404345299,244,,0,0.9277715731199195,184,1.9030488425543086,0.6014250396159904
nuclei,15,19,True,52,-8.62177378542512,73,0.24859259725482524,0.2956155650126304,True,2.767274748604166,0.6648699651684478,0.8540924900531467,0.9990638016819783,0.08515758502402475,0.25541936516997105,7.807524896119047,10.834240178941243,0.8063493156475915,0.6478525949115982,52,0.5938622060090427,171,,0,0.4706310299912379,184,1.0909140005143438,0.7264477038259871
nuclei,15,19,True,52,-8.62177378542512,137,0.2556005295116867,0.3186652208379687,True,2.762564040425474,0.7219511918301198,0.9172707118891289,0.9990056111582805,0.0863407308315091,0.26356349311811716,8.361652546571353,10.481588355589968,0.7837613820168331,0.6060947189529725,52,0.6748927214286876,171,,0,0.7770853076928413,184,0.8980608320533138,1.282118592016863
nuclei,15,19,True,52,-8.62177378542512,211,0.26525040325646987,0.32246276074808544,True,3.094440841875411,0.8545232880048281,1.0562249234039358,0.9990274798326305,0.10539870352890769,0.31960193959933153,8.107531301563478,9.682171659392154,0.7264948461886888,0.5338715522841403,52,1.077703493761541,171,,0,0.8471596885017368,184,0.4953788823869841,1.5868230567394168
nuclei,288,292,True,56,1.2942246415294676,73,0.9210540403059476,0.9543061224795275,True,3.7433682175768013,0.7938660402896909,1.0221463675407814,0.9949963656960916,0.09858063986192743,0.24037288569542203,8.052960920131822,15.573171685928196,0.8110477516950324,1.5773869110872347,56,0.5949731391322975,301,,0,0.8004765063157627,184,2.6511901249654377,0.5074699813275513
nuclei,288,292,True,56,1.2942246415294676,137,0.9119994273085975,0.9402257525841196,True,2.674660209109021,0.6055158247178324,0.7728052802022192,0.9973408967443068,0.1028176498571296,0.3470877958403571,5.889220630497076,7.706004766411406,0.7930197240413812,0.9273623812048035,56,0.461235944087112,301,,0,0.6021195872940557,184,2.0106030180285686,0.6492818767478994
nuclei,288,292,True,56,1.2942246415294676,211,0.9080628474566583,0.9389514368888042,True,3.4414395303820697,0.7803418522961946,0.9945686028509179,0.9956996155453222,0.10116191148514078,0.28181583279631467,7.713791098251593,12.2116614110514,0.7902057286723007,0.8067021475982047,56,0.6564056801727627,301,,0,0.8807474739520076,184,1.2289688708755304,1.091787689637691
nuclei,164,165,True,92,2.711670480549202,73,0.7848391644613313,0.8265317383616371,True,2.0768154555519516,0.4101028430592527,0.5544856382161503,0.998767821232208,0.06638282714804868,0.20141763889455522,6.177845395837554,10.310990968567513,0.9099886557164955,0.5821693399648825,81,0.3677842172567465,226,,0,0.5351662453411862,184,1.5829100669604752,0.9192621606858725
