dataset,gt_id_1,gt_id_2,merged,n_seeds,paired_q_effect_mean,seedvar_same_q2_mean,seedvar_same_q15_mean,q_over_seedvar
nuclei,293,299,True,3,0.8547083431349196,0.7191313961394458,0.42921543885817925,1.4885891911509248
nuclei,294,299,False,3,0.6787932775029533,0.535888852473624,0.5811484080433049,1.215345810736572
nuclei,288,292,True,3,0.7265745724345726,0.5331321812066181,0.7597044781474156,1.124000572195417
whole_cell,179,182,True,3,2.295102783127618,2.2119736758596407,2.1916917314422193,1.0423602026266725
whole_cell,218,388,False,3,3.3101149403789485,3.4049708966670615,3.988399253889822,0.895427896337538
nuclei,15,19,True,3,0.7471148150011319,0.6814057370178409,0.5100883352076454,1.2540806243469802
nuclei,260,261,False,3,0.876177949377032,0.5817010716720366,0.532258947663547,1.5730868867261942
whole_cell,133,141,True,3,4.308057030030823,3.9120851849333342,5.039844106987095,0.9624868315077205
nuclei,125,126,False,3,0.8298518642421501,0.8643498838291445,0.840412236103656,0.9735691033243533
whole_cell,59,77,False,3,2.198302448976507,3.7234190969953844,3.021159260634566,0.6518724618239863
nuclei,196,205,False,3,0.8113878417924942,0.7585064313226012,0.9616161402031697,0.9434070050866001
whole_cell,130,379,True,3,3.276513554893023,3.008950251107354,3.193479479713686,1.0565258123317096
nuclei,164,165,True,3,0.6748976634081604,0.4993897201393193,0.7967273503915534,1.0414146665497293
whole_cell,253,256,False,3,1.8621537972244084,2.0696359456851816,1.5929658364349144,1.0168475351674737
whole_cell,1,12,True,3,3.7199958036107375,3.3782001684074126,4.235968064302129,0.9771246680970582
whole_cell,189,198,False,3,3.9285208571438104,3.528412149072748,3.8804454072356394,1.0604930186027965
