dataset,image,cell,label,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
nuclei,nuclei_figure_1,A,A  Raw + current downstream,0.8393101933871858,0.7231132629970317,0.8632139803100402,0.8166946030270844,0.21014416626118754,0.22211409445452
nuclei,nuclei_figure_1,C,C  paper_fast_gp + current downstream,0.8784876618886996,0.7833062838774738,0.9393799101469679,0.8250091277217206,0.19507140118842248,0.22211409445452
nuclei,nuclei_figure_1,B,B  NoGP + paper downstream (constructed ablation),0.7619482404019277,0.6154413452384984,0.8686028665955062,0.6786212161444504,0.1735330870969169,0.22211409445452
nuclei,nuclei_figure_1,D,D  paper_fast_gp + paper downstream,0.8503934115334899,0.739725589662679,0.9520318725099601,0.7683633165161976,0.17926324442281888,0.22211409445452
nuclei,nuclei_figure_1,B_literal,B' published NoGP arm (confounded; secondary),0.5370104273580556,0.3670637422167634,0.9489333515576537,0.3744606346255975,0.08764892142551717,0.22211409445452
whole_cell,whole_cell_figure_1,A,A  Raw + current downstream,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787
whole_cell,whole_cell_figure_1,C,C  paper_fast_gp + current downstream,0.8230968371290286,0.6993751593981127,0.9461948200383861,0.7283411629953022,0.2567607973421927,0.33356035437430787
whole_cell,whole_cell_figure_1,B,B  NoGP + paper downstream (constructed ablation),0.8140654390170461,0.68643369187446,0.7696562331314655,0.863913281652031,0.37441029900332223,0.33356035437430787
whole_cell,whole_cell_figure_1,D,D  paper_fast_gp + paper downstream,0.8584111595558307,0.7519442457249671,0.9112791207152113,0.8113411131953321,0.2969795127353267,0.33356035437430787
whole_cell,whole_cell_figure_1,B_literal,B' published NoGP arm (confounded; secondary),0.8716407530674085,0.7724851419766674,0.8694524733669172,0.8738400756959546,0.3352436323366556,0.33356035437430787
