dataset,arm,pct,ap50,fg_dice
nuclei,raw,0.6,0.00935672514619883,0.4273262344032042
nuclei,raw,0.65,0.029914529914529916,0.5927466975140744
nuclei,raw,0.7,0.026841018582243633,0.8393101933871858
nuclei,raw,0.75,0.014298480786416443,0.7204988234798676
nuclei,raw,0.8,0.014945652173913044,0.49394371159284284
nuclei,raw,0.85,0.002066115702479339,0.2717023594507038
nuclei,raw,0.9,0.005420054200542005,0.10062883169689997
nuclei,raw,0.95,0.0,0.03281846191515844
nuclei,gp_legacy,0.6,0.001834862385321101,0.3972236903184527
nuclei,gp_legacy,0.65,0.015375153751537515,0.48237539462844803
nuclei,gp_legacy,0.7,0.06318681318681318,0.6901232143733739
nuclei,gp_legacy,0.75,0.06928104575163399,0.5986241486361091
nuclei,gp_legacy,0.8,0.013861386138613862,0.2704852711476002
nuclei,gp_legacy,0.85,0.0,0.06956020925656327
nuclei,gp_legacy,0.9,0.0,0.012146199674287246
nuclei,gp_legacy,0.95,0.0030211480362537764,0.002759329308966163
nuclei,gp,0.55,0.006407322654462242,0.39988384249041703
nuclei,gp,0.6,0.023877405559515324,0.5360104263503132
nuclei,gp,0.65,0.06706408345752608,0.830883713446764
nuclei,gp,0.7,0.031050228310502283,0.7349412537023349
nuclei,gp,0.75,0.0073439412484700125,0.4906623513754991
nuclei,gp,0.8,0.00927643784786642,0.24607573575408428
nuclei,gp,0.85,0.0049382716049382715,0.0848287890285133
nuclei,gp,0.9,0.0029239766081871343,0.022529433482380932
nuclei,gp,0.95,0.0,0.002304166563062055
nuclei,qep_q2,0.55,0.007737824305871643,0.40107618511848686
nuclei,qep_q2,0.6,0.02405745062836625,0.5402768224602328
nuclei,qep_q2,0.65,0.06384558277654045,0.8330137543811338
nuclei,qep_q2,0.7,0.03148148148148148,0.7309551172461741
nuclei,qep_q2,0.75,0.009925558312655087,0.48543616270867623
nuclei,qep_q2,0.8,0.009259259259259259,0.2413178173012753
nuclei,qep_q2,0.85,0.005076142131979695,0.08234479795689428
nuclei,qep_q2,0.9,0.0029154518950437317,0.021652945473647923
nuclei,qep_q2,0.95,0.0,0.0021054551181624516
nuclei,qep_q1.5,0.55,0.013550135501355014,0.44183062407305324
nuclei,qep_q1.5,0.6,0.05319822672577581,0.7400762560947352
nuclei,qep_q1.5,0.65,0.07187780772686433,0.8168679115807087
nuclei,qep_q1.5,0.7,0.025442477876106196,0.5829859872909348
nuclei,qep_q1.5,0.75,0.004885993485342019,0.31250677757994044
nuclei,qep_q1.5,0.8,0.0023923444976076554,0.1135377330802794
nuclei,qep_q1.5,0.85,0.002824858757062147,0.029835374127417484
nuclei,qep_q1.5,0.9,0.0,0.005709226606650835
nuclei,qep_q1.5,0.95,0.0,0.000555806728579665
whole_cell,raw,0.1,0.061224489795918366,0.6804336897906955
whole_cell,raw,0.15,0.12655800575263662,0.85452855488511
whole_cell,raw,0.2,0.1615819209039548,0.8657494907381378
whole_cell,raw,0.25,0.1360381861575179,0.8111206867819238
whole_cell,raw,0.3,0.13618157543391188,0.7446118868765074
whole_cell,raw,0.35,0.08536585365853659,0.668247016314464
whole_cell,raw,0.4,0.04426002766251729,0.5995827723104128
whole_cell,raw,0.45,0.02694610778443114,0.5169287764665472
whole_cell,raw,0.5,0.014516129032258065,0.42655127921070807
whole_cell,raw,0.55,0.0017825311942959,0.3350058318897393
whole_cell,raw,0.6,0.0,0.2585742451269978
whole_cell,raw,0.65,0.0,0.19913491061490077
whole_cell,raw,0.7,0.0,0.13821552723059097
whole_cell,raw,0.75,0.0,0.09212328495989992
whole_cell,raw,0.8,0.0,0.05397766274459133
whole_cell,raw,0.85,0.0,0.02887596423634118
whole_cell,raw,0.9,0.0,0.011355946191301477
whole_cell,raw,0.95,0.0,0.0021722368235596494
whole_cell,gp_legacy,0.1,0.04713275726630008,0.6536687379846312
whole_cell,gp_legacy,0.15,0.09855334538878843,0.8152180381641176
whole_cell,gp_legacy,0.2,0.14014752370916755,0.867389457171803
whole_cell,gp_legacy,0.25,0.13356562137049943,0.8338157701890664
whole_cell,gp_legacy,0.3,0.11389236545682102,0.7563512258168746
whole_cell,gp_legacy,0.35,0.09251700680272108,0.6615881327312428
whole_cell,gp_legacy,0.4,0.04486251808972504,0.5617509057433034
whole_cell,gp_legacy,0.45,0.023006134969325152,0.45656173344235484
whole_cell,gp_legacy,0.5,0.005042016806722689,0.35356229323692917
whole_cell,gp_legacy,0.55,0.0019047619047619048,0.2610821099991348
whole_cell,gp_legacy,0.6,0.0,0.1795992961628794
whole_cell,gp_legacy,0.65,0.0,0.11475063563465676
whole_cell,gp_legacy,0.7,0.0,0.0663002046302612
whole_cell,gp_legacy,0.75,0.0,0.03508028018559441
whole_cell,gp_legacy,0.8,0.0,0.017197824351790136
whole_cell,gp_legacy,0.85,0.0,0.006420120790932407
whole_cell,gp_legacy,0.9,0.0,0.0017580522108335821
whole_cell,gp_legacy,0.95,0.0,0.000315350080082323
whole_cell,gp,0.1,0.057692307692307696,0.7253691981508733
whole_cell,gp,0.15,0.12244897959183673,0.86204964594195
whole_cell,gp,0.2,0.12581344902386118,0.8508104267507438
whole_cell,gp,0.25,0.12409638554216867,0.7816630564519694
whole_cell,gp,0.3,0.09694555112881806,0.6941693581160567
whole_cell,gp,0.35,0.058663028649386086,0.6022479159825559
whole_cell,gp,0.4,0.026785714285714284,0.5067983945662241
whole_cell,gp,0.45,0.004784688995215311,0.4071144419741521
whole_cell,gp,0.5,0.0017889087656529517,0.31010184497709536
whole_cell,gp,0.55,0.0,0.22898901986706327
whole_cell,gp,0.6,0.0,0.15926324711919543
whole_cell,gp,0.65,0.0,0.10018368585776566
whole_cell,gp,0.7,0.0,0.057820799045723084
whole_cell,gp,0.75,0.0,0.029649617727625824
whole_cell,gp,0.8,0.0,0.011716945012872137
whole_cell,gp,0.85,0.0,0.004042211288372016
whole_cell,gp,0.9,0.0,0.0010120869731133288
whole_cell,gp,0.95,0.0,0.00028216001792545994
whole_cell,qep_q2,0.1,0.056657223796033995,0.7241860564545929
whole_cell,qep_q2,0.15,0.12176414189837009,0.8615917761598769
