dataset,method,q,label,Threshold,AP,TP,FP,FN
whole_cell,qep,2.0,QEP q=2,0.6,0.06153846153846154,60.0,572.0,343.0
whole_cell,qep,2.0,QEP q=2,0.65,0.0391566265060241,39.0,593.0,364.0
whole_cell,qep,2.0,QEP q=2,0.7,0.024752475247524754,25.0,607.0,378.0
whole_cell,qep,2.0,QEP q=2,0.75,0.015701668302257114,16.0,616.0,387.0
whole_cell,qep,2.0,QEP q=2,0.8,0.0048543689320388345,5.0,627.0,398.0
whole_cell,qep,2.0,QEP q=2,0.85,0.0009671179883945841,1.0,631.0,402.0
whole_cell,qep,2.0,QEP q=2,0.9,0.0,0.0,632.0,403.0
whole_cell,qep,1.5,QEP q=1.5,0.5,0.13296703296703297,121.0,507.0,282.0
whole_cell,qep,1.5,QEP q=1.5,0.55,0.1014957264957265,95.0,533.0,308.0
whole_cell,qep,1.5,QEP q=1.5,0.6,0.07620041753653445,73.0,555.0,330.0
whole_cell,qep,1.5,QEP q=1.5,0.65,0.04989816700610998,49.0,579.0,354.0
whole_cell,qep,1.5,QEP q=1.5,0.7,0.036180904522613064,36.0,592.0,367.0
whole_cell,qep,1.5,QEP q=1.5,0.75,0.02485089463220676,25.0,603.0,378.0
whole_cell,qep,1.5,QEP q=1.5,0.8,0.014763779527559055,15.0,613.0,388.0
whole_cell,qep,1.5,QEP q=1.5,0.85,0.008806262230919765,9.0,619.0,394.0
whole_cell,qep,1.5,QEP q=1.5,0.9,0.001943634596695821,2.0,626.0,401.0
