dataset,recon_rmse_gp_vs_qep2,recon_max_gp_vs_qep2,ap50_gp,ap50_qep_q2,ap50_abs_delta
nuclei,0.23175568906146582,2.074005126953125,0.03151862464183381,0.025540275049115914,0.0059783495927178965
whole_cell,0.31075346962788064,7.2445831298828125,0.1157556270096463,0.12012987012987013,0.004374243120223831
