sigma,seed,q,lengthscale,outputscale,noise,snr,rmse_q,rmse_gaussian,edge_q,edge_gaussian,interior_q,sharp_q,max_abs_diff,identical
0.1,1,3.0,0.0435464116477714,0.9250645280219988,0.2772549885555736,3.336511753463281,0.09084578055802851,0.09084578055802851,0.15633657553731042,0.15633657553731042,0.03690332922838517,1.0484306883071743,0.0,True
0.1,1,2.0,0.0440646746355928,0.0589443635594703,0.0173446077999664,3.3984258531106417,0.09098566189089227,0.09098566189089227,0.1566984960105379,0.1566984960105379,0.03674085015691197,1.0482426649081231,0.0,True
0.1,1,1.8,0.043255703092615,0.0232364467478924,0.0067754189163587,3.4295217808289142,0.09047635538375431,0.09047635538375431,0.1554057269182903,0.1554057269182903,0.03728115009129509,1.049823110306509,0.0,True
0.1,1,1.5,0.057909636112909,0.1179862813685372,0.0002489095145387,474.01274148639624,0.08204394324643724,0.08204394324643724,0.10534982538386307,0.10534982538386307,0.06980022260413594,1.1625622688130635,0.0,True
0.1,1,1.2,0.2510953884610053,0.327544658182092,0.0001096935849956,2985.996475502468,0.09831329432943739,0.09831329432943739,0.1715860539886548,0.1715860539886548,0.03531280450837185,1.0605053509289981,0.0,True
0.1,1,1.0,0.31678055412024,0.3877263279053152,0.0001074983876974,3606.810634190497,0.10427474967975053,0.10427474967975053,0.1833494793394968,0.1833494793394968,0.03451767767167188,1.0357332539167055,0.0,True
0.1,2,3.0,0.045086053581243,0.9562492629366696,0.2841586372064687,3.365195133033602,0.09108584098483664,0.09108584098483664,0.15684414252429887,0.15684414252429887,0.036830078128636624,1.0608943570767655,0.0,True
0.1,2,2.0,0.0455767520250469,0.0620457676855535,0.0177194645709952,3.501559961756155,0.09103081757858054,0.09103081757858054,0.15677015914815093,0.15677015914815093,0.03677016729726574,1.061702438583407,0.0,True
0.1,2,1.8,0.0460779112493992,0.0267709385592826,0.0069546482751591,3.8493590905098887,0.09070111428808213,0.09070111428808213,0.1558718239065997,0.1558718239065997,0.03723142274111935,1.0651980191437942,0.0,True
0.1,2,1.5,0.0683092142526038,0.2573706146967804,0.0002256572250822,1140.5378870675565,0.0817183139400829,0.0817183139400829,0.10099983027005471,0.10099983027005471,0.07195936852886506,1.1668666816588409,0.0,True
0.1,2,1.2,0.2802873512100277,0.3547036647061538,0.0001091346226843,3250.1478997387057,0.10073715828633399,0.10073715828633399,0.17595048840387872,0.17595048840387872,0.035904935928172316,1.0677291407600022,0.0,True
0.1,2,1.0,0.2933492227017406,0.3192348253220546,0.0001076222687594,2966.252514484107,0.1027146320030104,0.1027146320030104,0.17977675918053093,0.17977675918053093,0.03582374772276322,1.058593975520609,0.0,True
0.1,3,3.0,0.0470588409564054,0.9320945408779744,0.2979874836662542,3.127965407842162,0.09384995245837868,0.09384995245837868,0.16272899900843568,0.16272899900843568,0.03584238198667037,1.0413102744380531,0.0,True
0.1,3,2.0,0.047932925505422,0.0619748997309074,0.0185876947849568,3.3341896586909896,0.0938942504528521,0.0938942504528521,0.16283392377613365,0.16283392377613365,0.03580491629381052,1.0433676675499812,0.0,True
0.1,3,1.8,0.0497395059532317,0.030531631403989,0.0072042107416193,4.238025857240035,0.09325125232021202,0.09325125232021202,0.16115764339907687,0.16115764339907687,0.03662818870537045,1.0506023945300762,0.0,True
0.1,3,1.5,0.0657517123669474,0.1688178872146747,0.0002965867392806,569.2024114906786,0.08046338951613245,0.08046338951613245,0.10669478591802375,0.10669478591802375,0.06621539491137428,1.1429129950503036,0.0,True
0.1,3,1.2,0.2762326124469054,0.3422391830053039,0.0001089362111362,3141.647570039053,0.10149038267051991,0.10149038267051991,0.1774738274096752,0.1774738274096752,0.03573716910627914,1.054700468706904,0.0,True
0.1,3,1.0,0.3251062878233184,0.4185878671926241,0.0001073476776193,3899.3658407507673,0.10511066413319757,0.10511066413319757,0.18448542090898143,0.18448542090898143,0.03554063756526618,1.0404480801291627,0.0,True
0.25,1,3.0,0.0188225434484172,1.4416260134809356,0.6430362991183728,2.2419045634864774,0.1454550501672635,0.1454550501672635,0.17377221915935662,0.17377221915935662,0.13156413701774042,1.2335640068065759,0.0,True
0.25,1,2.0,0.057856799536104,0.0742567214845968,0.0724412296236661,1.025061582614793,0.12266918307695943,0.12266918307695943,0.20384156604362783,0.20384156604362783,0.061363306021332754,0.9605174906368742,0.0,True
0.25,1,1.8,0.0684681585682387,0.0436015143536481,0.029103427121824,1.4981573878270957,0.12361833393507635,0.12361833393507635,0.20617596086717405,0.20617596086717405,0.060755955057629346,0.9630870693287609,0.0,True
0.25,1,1.5,0.0603240835607564,0.0430790363432055,0.0034842845106258,12.363811339696891,0.12610875904661026,0.12610875904661026,0.1790537368167668,0.1790537368167668,0.09500349038319504,1.1560821134189492,0.0,True
0.25,1,1.2,0.1322429536171341,0.189820033109454,0.0001494992745431,1269.70537943801,0.13598691125795573,0.13598691125795573,0.17745891354489432,0.17745891354489432,0.11383686959723048,1.2515568839606204,0.0,True
0.25,1,1.0,0.2066224259261881,0.1726405728975928,0.0001110868457386,1554.1045544117412,0.1247364638059722,0.1247364638059722,0.18580274807116695,0.18580274807116695,0.08652555715470837,1.1204384258081612,0.0,True
0.25,2,3.0,0.0194015518285993,1.5139097457383088,0.6522516587992976,2.3210515838705588,0.14225799259869765,0.14225799259869765,0.16360219291638442,0.16360219291638442,0.13212987434917048,1.2441291525822784,0.0,True
0.25,2,2.0,0.0589841701712705,0.0796186706018399,0.0735753943811501,1.0821371909932715,0.12035866791199888,0.12035866791199888,0.19770673549894996,0.19770673549894996,0.0633526282948575,0.9997700043905929,0.0,True
0.25,2,1.8,0.0687640678632909,0.0462802377854169,0.0294210042854862,1.5730339228510835,0.12146734242852987,0.12146734242852987,0.19972883313720458,0.19972883313720458,0.06366856475250801,1.0042868844019008,0.0,True
0.25,2,1.5,0.0675656715555238,0.0403858426773243,0.003660216883145,11.033729411854749,0.12144606664056241,0.12144606664056241,0.17764628538249375,0.17764628538249375,0.08714208707881828,1.1475191023033522,0.0,True
0.25,2,1.2,0.1363965339082647,0.2061737697640025,0.0001541146353114,1337.7948781270072,0.13321010962564694,0.13321010962564694,0.17145304025224983,0.17145304025224983,0.11307147688114562,1.2621457776616594,0.0,True
0.25,2,1.0,0.2266955280426916,0.1997530394936466,0.000111045762086,1798.8353246560346,0.12238785876533934,0.12238785876533934,0.18287183691101713,0.18287183691101713,0.08437525894028101,1.1374353998602362,0.0,True
0.25,3,3.0,0.017223261119937,1.467438771754976,0.6506823609329334,2.255230600766549,0.14852408697545616,0.14852408697545616,0.16996818100917502,0.16996818100917502,0.13839094505814922,1.2077864404928171,0.0,True
0.25,3,2.0,0.0620136742030399,0.0841358472377157,0.0738958192430061,1.1385738476088247,0.12381304135570485,0.12381304135570485,0.20603597566078016,0.20603597566078016,0.06151857209187437,0.9694283619747951,0.0,True
0.25,3,1.8,0.0726223875686004,0.0525704533828182,0.0294956137038219,1.782314275970002,0.1246149515680465,0.1246149515680465,0.20735404790845638,0.20735404790845638,0.06194035941052842,0.9774208580939936,0.0,True
0.25,3,1.5,0.0678357274385732,0.0896105632468224,0.0031957082879302,28.040908359899607,0.129999989636604,0.129999989636604,0.1795590059604918,0.1795590059604918,0.10182995314695657,1.1696128333853306,0.0,True
0.25,3,1.2,0.2149704094296693,0.4774346318073283,0.0001201501573081,3973.6496605913453,0.1292078830431705,0.1292078830431705,0.1833306492916048,0.1833306492916048,0.09743706970510604,1.1551339246544745,0.0,True
0.25,3,1.0,0.2370363931579762,0.2912934527915724,0.0001102636493891,2641.790421462034,0.12651244970320424,0.12651244970320424,0.18916671296371848,0.18916671296371848,0.08709695242946959,1.1106621434146733,0.0,True
