dataset,image_source,absolute_threshold,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,n_components,comp_size_median,comp_size_mean,comp_size_p10,comp_size_p90,n_components_under_cleanup_ref
nuclei,raw,T_raw_original,0.729989734753752,0.5747904207783793,0.7549457222771377,0.7066308749336165,0.20789928635673316,0.22211409445452,7923,1.0,28.473936640161554,1.0,6.0,7662
nuclei,raw,T_fastgp_original,0.8122413682517987,0.6838437932935095,0.8697771356843427,0.7618452934147637,0.19455165066867194,0.22211409445452,6717,1.0,31.429953848444246,1.0,6.0,6437
nuclei,fastgp,T_raw_original,0.7383020854546793,0.5851654955938815,0.7725636352095179,0.7069503451938396,0.20325009952669526,0.22211409445452,769,9.0,286.80624187256177,2.0,681.4000000000003,523
nuclei,fastgp,T_fastgp_original,0.8294036927539465,0.7085309321581604,0.8972150749936036,0.7711223778544876,0.19089865233482256,0.22211409445452,601,17.0,344.6772046589018,2.0,887.0,338
whole_cell,raw,T_raw_original,0.7983618932588511,0.664394619960925,0.7321089866950947,0.8777991733204961,0.3999390919158361,0.33356035437430787,429,3.0,336.73193473193476,1.0,343.39999999999986,329
whole_cell,raw,T_fastgp_original,0.8551666335825668,0.746979131346136,0.9126095675670587,0.8045268172839096,0.2940559246954596,0.33356035437430787,342,96.5,310.5643274853801,1.0,799.0000000000024,166
whole_cell,fastgp,T_raw_original,0.7976081927311365,0.663351320184757,0.7303483204990202,0.8785129728922163,0.40122923588039866,0.33356035437430787,337,5.0,430.0415430267062,1.0,426.2000000000001,238
whole_cell,fastgp,T_fastgp_original,0.8563969359270056,0.7488585531389789,0.9136391437308868,0.8059046164572301,0.29422757475083056,0.33356035437430787,318,147.5,334.1981132075472,2.0,838.1000000000001,137
