dataset,metric,RR,RG,GR,GG,p_effect_on_raw_RGmRR,p_effect_on_fastgp_GGmGR,image_effect_at_p_raw_GRmRR,image_effect_at_p_fastgp_GGmRG,interaction,total_GGmRR
nuclei,ap50,0.4014732965009208,0.4780793319415449,0.49665924276169265,0.6481012658227848,0.07660603544062411,0.15144202306109217,0.09518594626077187,0.17002193388123993,0.07483598762046806,0.24662796932186404
nuclei,ap75,0.1478129713423831,0.1919191919191919,0.17482517482517482,0.28402366863905326,0.0441062205768088,0.10919849381387844,0.027012203482791708,0.09210447671986136,0.06509227323706965,0.13621069729667015
nuclei,n_components,4123.0,4321.0,470.0,422.0,198.0,-48.0,-3653.0,-3899.0,-246.0,-3701.0
nuclei,fg_dice,0.7619482404019277,0.8105718285821589,0.7107247987564984,0.8503934115334899,0.04862358818023127,0.1396686127769915,-0.051223441645429246,0.03982158295133098,0.09104502459676023,0.08844517113156225
whole_cell,ap50,0.42911877394636017,0.5813953488372093,0.4255725190839695,0.583864118895966,0.15227657489084917,0.15829159981199653,-0.0035462548623906853,0.002468770058756675,0.0060150249211473605,0.15474534494960585
whole_cell,ap75,0.1303030303030303,0.16510903426791276,0.136986301369863,0.17111459968602827,0.034806003964882454,0.03412829831616526,0.006683271066832697,0.006005565418115505,-0.0006777056487171917,0.04081156938299796
whole_cell,n_components,366.0,347.0,289.0,314.0,-19.0,25.0,-77.0,-33.0,44.0,-52.0
whole_cell,fg_dice,0.8140654390170461,0.8567215553706858,0.8160095439712746,0.8584111595558307,0.04265611635363975,0.04240161558455613,0.001944104954228476,0.0016896041851448551,-0.00025450076908362096,0.044345720538784605
