dataset,image,role,arm,img_min,img_max,img_mean,img_std,q01,q05,q25,q50,q75,q95,q99,c1_threshold,c1_fraction_of_max,c1_percentile_of_distribution,c1_collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,src
nuclei,nuclei_figure_1,development,raw,105.0,255.0,169.1350743132658,19.56312995591895,138.0,145.0,157.0,166.0,175.0,211.0,231.0,196.35,0.77,89.44565473820792,False,2832,0.6380764611745647,0.46851122180094,0.9904478341730042,0.4706377788104089,0.1055434526179207,0.22211409445452,results/real_cellseg_round3_thresholding_20260916/masks/nuclei_nuclei_figure_1_raw.npz
nuclei,nuclei_figure_1,development,gp,114.22246551513672,280.0849609375,169.17113280313552,18.69165255044867,140.23721771240236,145.50366973876953,157.7353057861328,165.64224243164062,174.76915740966797,208.9545669555664,228.6373924255371,207.26287109375,0.74,94.42678152784536,False,229,0.3982673357633971,0.24864782036096778,0.9927575772607768,0.2490996747211896,0.055732184721546424,0.22211409445452,results/real_cellseg_round3_thresholding_20260916/masks/nuclei_nuclei_figure_1_gp.npz
nuclei,nuclei_figure_1,development,qep_q2,114.22246551513672,280.0849609375,169.17113280313552,18.69165255044867,140.23721771240236,145.50366973876953,157.7353057861328,165.64224243164062,174.76915740966797,208.9545669555664,228.6373924255371,207.26287109375,0.74,94.42678152784536,False,229,0.3982673357633971,0.24864782036096778,0.9927575772607768,0.2490996747211896,0.055732184721546424,0.22211409445452,results/real_cellseg_round3_thresholding_20260916/masks/nuclei_nuclei_figure_1_qep_q2.npz
nuclei,nuclei_figure_1,development,qep_q1.5,113.81208038330078,281.2164611816406,169.16940024399636,18.716483345616933,140.25452880859376,145.49839782714844,157.7102165222168,165.60484313964844,174.79642868041992,208.9591941833496,228.7055343627929,210.91234588623047,0.75,95.60294746464959,False,210,0.3287063012142496,0.1966777601405818,0.9945718237833759,0.19688910647902283,0.04397052535350408,0.22211409445452,results/real_cellseg_round3_thresholding_20260916/masks/nuclei_nuclei_figure_1_qep_q1.5.npz
nuclei,nuclei_figure_2,heldout_candidate,raw,94.0,255.0,125.4103422459893,18.698406634924986,103.0,109.0,116.0,122.0,127.0,169.0,208.0,150.45,0.59,93.10802139037433,False,88,0.8366492146596859,0.7191719171917191,0.9919304779639975,0.723404255319149,0.06891978609625668,0.09450267379679145,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_2_raw.npz
nuclei,nuclei_figure_2,heldout_candidate,gp,93.34890747070312,248.64596557617188,125.2526851608358,15.608472602211714,104.84354148864746,109.82131805419922,117.17122459411621,122.07761001586914,127.52889060974121,157.3801109313965,192.64147003173815,149.1875793457031,0.6,93.25561497326204,False,62,0.7050587769119007,0.5444716442268461,0.8464954012052014,0.6041195110909914,0.06744385026737967,0.09450267379679145,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_2_gp.npz
nuclei,nuclei_figure_2,heldout_candidate,qep_q2,93.34890747070312,248.64596557617188,125.2526851608358,15.608472602211714,104.84354148864746,109.82131805419922,117.17122459411621,122.07761001586914,127.52889060974121,157.3801109313965,192.64147003173815,149.1875793457031,0.6,93.25561497326204,False,62,0.7050587769119007,0.5444716442268461,0.8464954012052014,0.6041195110909914,0.06744385026737967,0.09450267379679145,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_2_qep_q2.npz
nuclei,nuclei_figure_2,heldout_candidate,qep_q1.5,97.92463684082031,240.49208068847656,125.26333912626052,14.705604820639438,105.72897598266601,110.42954788208007,117.4011001586914,122.20700073242188,127.54146766662598,156.25876770019534,186.92181976318358,149.10509002685546,0.62,93.28663101604278,False,58,0.690928339839873,0.5278002426202992,0.831766767564123,0.5908782254413761,0.06713368983957219,0.09450267379679145,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_2_qep_q1.5.npz
nuclei,nuclei_figure_3,heldout_candidate,raw,36.0,185.0,58.399665231946436,9.644265666282115,45.0,48.0,53.0,56.0,61.0,79.0,92.0,77.7,0.42,93.93790849673202,False,1078,0.4266893568744239,0.27120477366551893,0.9890211031490369,0.27202372341964415,0.06062091503267974,0.22040490993145226,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_3_raw.npz
nuclei,nuclei_figure_3,heldout_candidate,gp,42.39777755737305,131.24180603027344,58.37081453000152,8.148161356601364,47.411946601867676,50.00424575805664,53.283403396606445,56.04928779602051,60.65877151489258,75.57393531799316,87.31590019226074,77.43266555786133,0.59,96.0210425633668,False,141,0.30128048033329247,0.17735740176365572,0.9850761217948718,0.17783523795747144,0.0397895743663319,0.22040490993145226,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_3_gp.npz
nuclei,nuclei_figure_3,heldout_candidate,qep_q2,42.39777755737305,131.24180603027344,58.37081453000152,8.148161356601364,47.411946601867676,50.00424575805664,53.283403396606445,56.04928779602051,60.65877151489258,75.57393531799316,87.31590019226074,77.43266555786133,0.59,96.0210425633668,False,141,0.30128048033329247,0.17735740176365572,0.9850761217948718,0.17783523795747144,0.0397895743663319,0.22040490993145226,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_3_qep_q2.npz
nuclei,nuclei_figure_3,heldout_candidate,qep_q1.5,42.438472747802734,125.84417724609375,58.38104182461812,8.223182529412716,47.549327545166015,49.91634120941162,53.18430233001709,56.04096221923828,60.77906322479248,75.68985366821289,87.73445289611816,76.76494812011718,0.61,95.56591742388012,False,132,0.3295800090320638,0.19730367860425715,0.9839115585115945,0.19794228265586575,0.04434082576119879,0.22040490993145226,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_3_qep_q1.5.npz
nuclei,nuclei_figure_4,heldout_candidate,raw,0.0,255.0,64.17267509594298,35.6228814869838,14.0,27.0,46.0,58.0,71.0,143.0,220.0,102.0,0.4,92.48989172149122,False,1548,0.8611019329258219,0.7560834088848595,0.9644054860420473,0.7777881404935554,0.07407654879385965,0.09184998629385965,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_4_raw.npz
nuclei,nuclei_figure_4,heldout_candidate,gp,1.0424885749816895,270.1222839355469,64.07251063654886,30.216118275757147,21.45489803314209,31.716305923461913,50.31996154785156,58.566484451293945,66.7686882019043,130.55984420776298,195.57921752929644,91.84157653808595,0.34,90.42454769736842,False,211,0.8649966666971078,0.7621093624279875,0.8473608874575058,0.883382141724646,0.09575452302631579,0.09184998629385965,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_4_gp.npz
nuclei,nuclei_figure_4,heldout_candidate,qep_q2,1.0424885749816895,270.1222839355469,64.07251063654886,30.216118275757147,21.45489803314209,31.716305923461913,50.31996154785156,58.566484451293945,66.7686882019043,130.55984420776298,195.57921752929644,91.84157653808595,0.34,90.42454769736842,False,211,0.8649966666971078,0.7621093624279875,0.8473608874575058,0.883382141724646,0.09575452302631579,0.09184998629385965,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_4_qep_q2.npz
nuclei,nuclei_figure_4,heldout_candidate,qep_q1.5,0.4561901390552521,269.58636474609375,64.10126966816692,30.19951475958057,21.332917461395265,31.664584255218507,50.34465408325195,58.65213394165039,66.87778091430664,130.55776519775384,195.5591917419432,91.65936401367188,0.34,90.41718064692984,False,213,0.8650770466661798,0.7622341623499888,0.8471206622208713,0.8838111581578407,0.09582819353070175,0.09184998629385965,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_4_qep_q1.5.npz
nuclei,nuclei_figure_5,heldout_candidate,raw,0.0,255.0,61.01512336730957,31.581350278646294,20.0,29.0,44.0,55.0,67.0,130.0,197.0,96.9,0.38,92.26055145263672,False,2837,0.8929886279964002,0.8066661739708817,0.941481627522981,0.8492463987195448,0.07739448547363281,0.0858001708984375,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_5_raw.npz
nuclei,nuclei_figure_5,heldout_candidate,gp,10.095656394958496,268.71636962890625,60.89972717414366,28.802485264669222,26.765552520751953,34.24375629425049,46.127556800842285,54.30826187133789,64.36585426330566,123.83869743347168,186.70744705200195,91.36356567382813,0.34,91.00446701049805,False,131,0.8712430748861867,0.7718606685831306,0.851121123774185,0.8923394984883514,0.08995532989501953,0.0858001708984375,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_5_gp.npz
nuclei,nuclei_figure_5,heldout_candidate,qep_q2,10.095656394958496,268.71636962890625,60.89972717414366,28.802485264669222,26.765552520751953,34.24375629425049,46.127556800842285,54.30826187133789,64.36585426330566,123.83869743347168,186.70744705200195,91.36356567382813,0.34,91.00446701049805,False,131,0.8712430748861867,0.7718606685831306,0.851121123774185,0.8923394984883514,0.08995532989501953,0.0858001708984375,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_5_qep_q2.npz
nuclei,nuclei_figure_5,heldout_candidate,qep_q1.5,10.720443725585938,270.1878662109375,60.898926147234306,28.753337622284693,26.77504062652588,34.25707149505615,46.142340660095215,54.29719924926758,64.32519149780273,123.60568428039551,186.4378547668457,89.16199584960938,0.33,90.57168960571289,False,134,0.8646249821268753,0.76153250557385,0.8257285334250427,0.9073670638449226,0.0942831039428711,0.0858001708984375,results/real_cellseg_round2_20260915/masks/nuclei_nuclei_figure_5_qep_q1.5.npz
whole_cell,whole_cell_figure_1,development,raw,0.0,229.0,45.19576411960133,40.9611701143946,3.0,10.0,19.0,28.0,57.0,137.0,182.0,54.96,0.24,73.90836101882613,False,389,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787,results/real_cellseg_round3_thresholding_20260916/masks/whole_cell_whole_cell_figure_1_raw.npz
whole_cell,whole_cell_figure_1,development,gp,-68.52111053466797,241.0319366455078,45.160814194653824,39.44512826189917,2.0398282527923586,9.108436584472656,19.04612684249878,29.344589233398438,58.73600769042969,133.05527343749998,174.9703732299805,60.25798416137695,0.25,75.68161683277962,False,284,0.8026401689708141,0.670341653503532,0.9517862428561671,0.6939044836573098,0.24318383167220375,0.33356035437430787,results/real_cellseg_round3_thresholding_20260916/masks/whole_cell_whole_cell_figure_1_gp.npz
whole_cell,whole_cell_figure_1,development,qep_q2,-68.52111053466797,241.0319366455078,45.160814194653824,39.44512826189917,2.0398282527923586,9.108436584472656,19.04612684249878,29.344589233398438,58.73600769042969,133.05527343749998,174.9703732299805,60.25798416137695,0.25,75.68161683277962,False,284,0.8026401689708141,0.670341653503532,0.9517862428561671,0.6939044836573098,0.24318383167220375,0.33356035437430787,results/real_cellseg_round3_thresholding_20260916/masks/whole_cell_whole_cell_figure_1_qep_q2.npz
whole_cell,whole_cell_figure_1,development,qep_q1.5,-37.7285041809082,237.4364776611328,45.13882679217641,38.80303387408535,2.6641295766830444,9.441625022888184,19.243656158447266,29.610671997070312,58.89020919799805,131.36983642578124,172.14894531250002,59.3591194152832,0.25,75.22369878183832,False,271,0.8103003228971206,0.6810965309079846,0.9505989362177625,0.7060888763466742,0.24776301218161684,0.33356035437430787,results/real_cellseg_round3_thresholding_20260916/masks/whole_cell_whole_cell_figure_1_qep_q1.5.npz
whole_cell,whole_cell_figure_2,heldout_candidate,raw,7.0,255.0,37.9634109375,36.45388315636628,16.0,18.0,20.0,23.0,36.0,121.0,191.0,53.55,0.21,83.63515625,False,552,0.7478294539010261,0.5972265169715278,0.9589153578078007,0.6129097222646023,0.1636484375,0.2560328125,results/real_cellseg_round2_20260915/masks/whole_cell_whole_cell_figure_2_raw.npz
