dataset,label,n_images,ap50_mean,ap50_std,ap50_min,ap50_max,ap75_mean,mean_iou,npred_mean,ngt_mean,runtime_mean
nuclei,GP,1,0.3029045643153527,,0.3029045643153527,0.3029045643153527,0.07903780068728522,0.4346023971232174,298.0,330.0,648.0759780406952
nuclei,GP-legacy-config,1,0.03931203931203931,,0.03931203931203931,0.03931203931203931,0.002369668246445498,0.11320565397853498,93.0,330.0,650.3367238044739
nuclei,ImageJ (saved masks),1,0.45863309352517984,,0.45863309352517984,0.45863309352517984,0.2515432098765432,0.6693877428147391,481.0,330.0,0.0
nuclei,QEP q=1.5,1,0.3235294117647059,,0.3235294117647059,0.3235294117647059,0.08736059479553904,0.4176225816718921,255.0,330.0,670.3471720218658
nuclei,QEP q=2,1,0.3029045643153527,,0.3029045643153527,0.3029045643153527,0.07903780068728522,0.4346023971232174,298.0,330.0,649.6001882553101
nuclei,Raw,1,0.41216216216216217,,0.41216216216216217,0.41216216216216217,0.09615384615384616,0.4936986042160584,297.0,330.0,1.770176887512207
whole_cell,GP,1,0.3047138047138047,,0.3047138047138047,0.3047138047138047,0.03748326639892905,0.46002209490705237,372.0,403.0,361.16102409362793
whole_cell,GP-legacy-config,1,0.3432282003710575,,0.3432282003710575,0.3432282003710575,0.08383233532934131,0.46599640407852394,321.0,403.0,357.2746820449829
whole_cell,ImageJ (saved masks),1,0.3415841584158416,,0.3415841584158416,0.3415841584158416,0.002466091245376079,0.4775652447562435,410.0,403.0,0.0
whole_cell,QEP q=1.5,1,0.45348837209302323,,0.45348837209302323,0.45348837209302323,0.0948905109489051,0.5316330712776786,347.0,403.0,358.6928689479828
whole_cell,QEP q=2,1,0.3047138047138047,,0.3047138047138047,0.3047138047138047,0.03748326639892905,0.46002209490705237,372.0,403.0,359.488018989563
whole_cell,Raw,1,0.47808764940239046,,0.47808764940239046,0.47808764940239046,0.08638360175695461,0.5376113188585235,339.0,403.0,0.15050196647644043
