rule,rule_family,params,dataset,image,arm,threshold,collapsed,n_components,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
criterion_1,criterion_1,{},nuclei,nuclei_figure_1,raw,196.35,False,2832,0.6380764611745647,0.46851122180094,0.9904478341730042,0.4706377788104089,0.1055434526179207,0.22211409445452
criterion_1,criterion_1,{},nuclei,nuclei_figure_1,gp,207.26287109375,False,229,0.3982673357633971,0.24864782036096778,0.9927575772607768,0.2490996747211896,0.055732184721546424,0.22211409445452
criterion_1,criterion_1,{},nuclei,nuclei_figure_1,qep_q2,207.26287109375,False,229,0.3982673357633971,0.24864782036096778,0.9927575772607768,0.2490996747211896,0.055732184721546424,0.22211409445452
criterion_1,criterion_1,{},nuclei,nuclei_figure_1,qep_q1.5,210.91234588623047,False,210,0.3287063012142496,0.1966777601405818,0.9945718237833759,0.19688910647902283,0.04397052535350408,0.22211409445452
criterion_1,criterion_1,{},whole_cell,whole_cell_figure_1,raw,54.96,False,389,0.8274956339504017,0.7057505779175901,0.9426907038188512,0.7373881575671054,0.26091638981173865,0.33356035437430787
criterion_1,criterion_1,{},whole_cell,whole_cell_figure_1,gp,60.25798416137695,False,284,0.8026401689708141,0.670341653503532,0.9517862428561671,0.6939044836573098,0.24318383167220375,0.33356035437430787
criterion_1,criterion_1,{},whole_cell,whole_cell_figure_1,qep_q2,60.25798416137695,False,284,0.8026401689708141,0.670341653503532,0.9517862428561671,0.6939044836573098,0.24318383167220375,0.33356035437430787
criterion_1,criterion_1,{},whole_cell,whole_cell_figure_1,qep_q1.5,59.3591194152832,False,271,0.8103003228971206,0.6810965309079846,0.9505989362177625,0.7060888763466742,0.24776301218161684,0.33356035437430787
otsu,otsu,{},nuclei,nuclei_figure_1,raw,182.05078125,False,6238,0.8287299453506475,0.7075481372216481,0.9347533842578601,0.7443076208178439,0.17686078058418483,0.22211409445452
otsu,otsu,{},nuclei,nuclei_figure_1,gp,180.6322537213564,False,238,0.8480074717044604,0.736122371348321,0.9087679186391796,0.7948627522570366,0.19427426608277673,0.22211409445452
otsu,otsu,{},nuclei,nuclei_figure_1,qep_q2,180.6322537213564,False,238,0.8480074717044604,0.736122371348321,0.9087679186391796,0.7948627522570366,0.19427426608277673,0.22211409445452
otsu,otsu,{},nuclei,nuclei_figure_1,qep_q1.5,180.83922503888607,False,234,0.8458181028233985,0.7328291189564375,0.9080671492962842,0.7915560276155071,0.19361536249834121,0.22211409445452
otsu,otsu,{},whole_cell,whole_cell_figure_1,raw,72.904296875,False,416,0.7185398856663345,0.5607196647239866,0.9759787997948367,0.5685662588602447,0.1943189368770764,0.33356035437430787
otsu,otsu,{},whole_cell,whole_cell_figure_1,gp,69.93132658302784,False,309,0.7364893387008762,0.5828912737021373,0.9696497316054872,0.5937235437658738,0.20424141749723146,0.33356035437430787
otsu,otsu,{},whole_cell,whole_cell_figure_1,qep_q2,69.93132658302784,False,309,0.7364893387008762,0.5828912737021373,0.9696497316054872,0.5937235437658738,0.20424141749723146,0.33356035437430787
otsu,otsu,{},whole_cell,whole_cell_figure_1,qep_q1.5,69.22038524597883,False,291,0.7427822060119255,0.5908142642936306,0.9701592399304162,0.6017496389502166,0.2068936877076412,0.33356035437430787
