dataset,image,role,method,label,ap50,ap75,tp50,fp50,fn50,n_pred,n_gt,mean_matched_iou,threshold_rule,runtime_s,tp75,fp75,fn75,threshold,fg_dice,fg_iou,n_markers,merged,split,missed,spurious
nuclei,nuclei_figure_5,heldout_candidate,qep_q1.5,QEP q=1.5,0.7325581395348837,0.33035714285714285,126,21,25,147,151,0.6953839230478265,li,0.2538628578186035,74.0,73.0,77.0,85.70383653578706,0.8562438504427681,0.7486244780185315,150.0,9.0,5.0,25.0,3.0
whole_cell,whole_cell_figure_1,development,imagej,ImageJ (saved masks),0.3415841584158416,0.002466091245376079,207,203,196,410,403,0.4775652447562435,n/a (external masks),0.0,,,,,,,,,,,
whole_cell,whole_cell_figure_1,development,raw,Raw,0.5276073619631901,0.07947976878612717,258,86,145,344,403,0.5553628453480189,li,0.13338613510131836,55.0,289.0,348.0,54.93502553437397,0.8274956339504017,0.7057505779175901,525.0,67.0,15.0,145.0,12.0
whole_cell,whole_cell_figure_1,development,gp,GP,0.44529750479846447,0.03576341127922971,232,118,171,350,403,0.5096238800826246,li,0.12223100662231445,26.0,324.0,377.0,62.448615622708644,0.7880879732467596,0.6502848027328172,407.0,62.0,18.0,171.0,22.0
whole_cell,whole_cell_figure_1,development,qep_q2,QEP q=2,0.44529750479846447,0.03576341127922971,232,118,171,350,403,0.5096238800826246,li,0.12750482559204102,26.0,324.0,377.0,62.448615622708644,0.7880879732467596,0.6502848027328172,407.0,62.0,18.0,171.0,22.0
whole_cell,whole_cell_figure_1,development,qep_q1.5,QEP q=1.5,0.4502923976608187,0.07050359712230216,231,110,172,341,403,0.5194512530689788,li,0.12348198890686035,49.0,292.0,354.0,59.63957091701336,0.8086531991352528,0.6787722924578186,382.0,67.0,16.0,172.0,20.0
whole_cell,whole_cell_figure_2,heldout_candidate,imagej,ImageJ (saved masks),0.07262569832402235,0.010526315789473684,13,138,28,151,41,0.4403960193299307,n/a (external masks),0.0,,,,,,,,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,raw,Raw,0.13333333333333333,0.02,18,94,23,112,41,0.48282849682161566,li,0.22715497016906738,3.0,109.0,38.0,54.74288962635998,0.7405157511465095,0.5879515776561728,584.0,1.0,3.0,23.0,71.0
whole_cell,whole_cell_figure_2,heldout_candidate,gp,GP,0.14285714285714285,0.014084507042253521,18,85,23,103,41,0.47578399021012235,li,0.15432381629943848,2.0,101.0,39.0,60.207101298374454,0.703168372952554,0.5422202530281348,141.0,0.0,2.0,23.0,64.0
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q2,QEP q=2,0.14285714285714285,0.014084507042253521,18,85,23,103,41,0.47578399021012235,li,0.14623594284057617,2.0,101.0,39.0,60.207101298374454,0.703168372952554,0.5422202530281348,141.0,0.0,2.0,23.0,64.0
