dataset,image,arm,i,j,y_offset,x_offset,h,w,theta_hat,s_2,sigma2_hat,runtime_sec,beta1,beta2,nugget,eff_range_rows_px,eff_range_cols_px,tile_min,tile_max,pred_min,pred_max,rmse_to_raw,gradients_computed
nuclei,nuclei_figure_1,paper_fast_gp,1,1,0,0,282,240,0.6639409024734176,162.81761432751335,0.002405697611222124,0.019520044326782227,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5333333333333333,1.0,0.5775725105550776,0.9654932957931484,0.019803842179129443,False
nuclei,nuclei_figure_1,paper_fast_gp,1,2,282,0,282,240,0.7016616144111489,187.98721159893262,0.0027775888238612974,0.027247190475463867,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5607843137254902,1.0,0.6320849720279502,1.0219212528419306,0.021256775480483284,False
nuclei,nuclei_figure_1,paper_fast_gp,1,3,564,0,282,240,0.6979367415676632,187.7826273895773,0.0027745660075292155,0.03702378273010254,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5294117647058824,1.0,0.5898502246621421,0.9810058492200062,0.021199522262004594,False
nuclei,nuclei_figure_1,paper_fast_gp,1,4,846,0,282,240,0.6808383496204795,164.05330758110915,0.002423955490264615,0.03402304649353027,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5294117647058824,1.0,0.5723617410672436,0.9990780526112393,0.019882235323569995,False
nuclei,nuclei_figure_1,paper_fast_gp,2,1,0,240,282,240,0.662758217605824,151.7575478018516,0.002242280552627831,0.026103734970092773,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5372549019607843,0.9764705882352941,0.5697069254079052,0.9118141497265178,0.0192330849878433,False
nuclei,nuclei_figure_1,paper_fast_gp,2,2,282,240,282,240,0.6762130410985042,168.2398925947499,0.0024858140158798745,0.03561091423034668,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4117647058823529,1.0,0.44506993887505025,0.9548361859569465,0.020113017692680438,False
nuclei,nuclei_figure_1,paper_fast_gp,2,3,564,240,282,240,0.6527540777020314,162.10501756233262,0.002395168699207042,0.018786907196044922,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.4980392156862745,0.996078431372549,0.5584458869095812,0.9381642483159716,0.01976822226585701,False
nuclei,nuclei_figure_1,paper_fast_gp,2,4,846,240,282,240,0.6415546197156821,148.9421890610367,0.0022006824624857665,0.017913818359375,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5098039215686274,1.0,0.5498035727805973,1.0235781799239148,0.018846827076707973,False
nuclei,nuclei_figure_1,paper_fast_gp,3,1,0,480,282,240,0.6958819648936945,173.1983645333858,0.0025590774901504995,0.03421902656555176,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5647058823529412,1.0,0.6164469979923171,0.9679668678153914,0.02045024947205278,False
nuclei,nuclei_figure_1,paper_fast_gp,3,2,282,480,282,240,0.686549784226677,176.52050400947377,0.002608163475317284,0.019450902938842773,35.503950708599106,23.688954278724278,0.1705972631730777,7.914612159822017,10.089090349363909,0.5254901960784314,1.0,0.6285652678131762,1.0094044477107873,0.02064256878608465,False
