dataset,image,arm,r2_fg_frac,r3_fg_frac,r2_ap50,r3_ap50,r2_dice,r3_dice
nuclei,nuclei_figure_2,gp_legacy,0.0,0.7369625668449198,0.0,0.0,0.0,0.20562887499678423
nuclei,nuclei_figure_3,gp_legacy,0.02725569902757851,0.3278614697911685,0.040145985401459854,0.11011904761904762,0.20539722897188742,0.6625815033691693
nuclei,nuclei_figure_4,gp_legacy,0.10747327302631579,0.10451274671052632,0.6385964912280702,0.6385964912280702,0.8435547227546608,0.8433772783192134
nuclei,nuclei_figure_5,gp_legacy,0.1136007308959961,0.1073770523071289,0.7017543859649122,0.6590909090909091,0.823102344956884,0.8301795508513485
whole_cell,whole_cell_figure_2,gp_legacy,0.2009203125,0.1650234375,0.16,0.2169811320754717,0.785050435971961,0.7487791120545058
whole_cell,whole_cell_figure_3,gp_legacy,0.30178017718715394,0.2325498338870432,0.36065573770491804,0.48214285714285715,0.7591501469660569,0.8110722111679218
whole_cell,whole_cell_figure_4,gp_legacy,0.155913,0.16214,0.24603174603174602,0.22727272727272727,0.7711733649028508,0.7812809321484798
whole_cell,whole_cell_figure_5,gp_legacy,0.304376,0.237571,0.1037037037037037,0.15677966101694915,0.7588271267179504,0.7342378059162041
