rule,dataset,image,arm,transform,a,b,mask_identical,base_threshold,transformed_threshold,expected_threshold,threshold_matches_expected
robust_mad_c1.5,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,46.288202327919,23.1441011639595,23.1441011639595,True
robust_mad_c1.5,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,46.288202327919,92.576404655838,92.576404655838,True
robust_mad_c1.5,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,46.288202327919,462.88202327919004,462.88202327919004,True
robust_mad_c1.5,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,46.288202327919,142.57640465583802,142.57640465583802,True
robust_mad_c1.5,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,46.288202327919,146.288202327919,146.288202327919,True
robust_mad_c1.5,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,37.3434,18.6717,18.6717,True
robust_mad_c1.5,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,37.3434,74.6868,74.6868,True
robust_mad_c1.5,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,37.3434,373.43399999999997,373.434,True
robust_mad_c1.5,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,37.3434,124.6868,124.6868,True
robust_mad_c1.5,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,37.3434,137.3434,137.3434,True
robust_mad_c2,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,137.38106169128417,68.69053084564209,68.69053084564209,True
robust_mad_c2,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,137.38106169128417,274.76212338256835,274.76212338256835,True
robust_mad_c2,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,137.38106169128417,1373.8106169128419,1373.8106169128419,True
robust_mad_c2,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,137.38106169128417,324.76212338256835,324.76212338256835,True
robust_mad_c2,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,137.38106169128417,237.38106169128417,237.38106169128417,True
robust_mad_c2,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,83.17205440826416,41.58602720413208,41.58602720413208,True
robust_mad_c2,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,83.17205440826416,166.34410881652832,166.34410881652832,True
robust_mad_c2,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,83.17205440826416,831.7205440826416,831.7205440826416,True
robust_mad_c2,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,83.17205440826416,216.34410881652832,216.34410881652832,True
robust_mad_c2,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,83.17205440826416,183.17205440826416,183.17205440826416,True
robust_mad_c2,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,53.564418531036374,26.782209265518187,26.782209265518187,True
robust_mad_c2,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,53.564418531036374,107.12883706207275,107.12883706207275,True
robust_mad_c2,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,53.564418531036374,535.6441853103638,535.6441853103637,True
robust_mad_c2,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,53.564418531036374,157.12883706207276,157.12883706207276,True
robust_mad_c2,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,53.564418531036374,153.56441853103638,153.56441853103638,True
robust_mad_c2,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,41.7912,20.8956,20.8956,True
robust_mad_c2,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,41.7912,83.5824,83.5824,True
robust_mad_c2,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,41.7912,417.912,417.91200000000003,True
robust_mad_c2,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,41.7912,133.5824,133.5824,True
robust_mad_c2,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,41.7912,141.7912,141.7912,True
robust_mad_c3,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,145.0327875289917,72.51639376449585,72.51639376449585,True
robust_mad_c3,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,145.0327875289917,290.0655750579834,290.0655750579834,True
robust_mad_c3,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,145.0327875289917,1450.327875289917,1450.3278752899168,True
robust_mad_c3,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,145.0327875289917,340.0655750579834,340.0655750579834,True
robust_mad_c3,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,145.0327875289917,245.0327875289917,245.0327875289917,True
robust_mad_c3,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,95.43201464157104,47.71600732078552,47.71600732078552,True
robust_mad_c3,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,95.43201464157104,190.8640292831421,190.8640292831421,True
robust_mad_c3,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,95.43201464157104,954.3201464157105,954.3201464157105,True
robust_mad_c3,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,95.43201464157104,240.8640292831421,240.8640292831421,True
robust_mad_c3,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,95.43201464157104,195.43201464157104,195.43201464157104,True
robust_mad_c3,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,68.11685093727111,34.058425468635555,34.058425468635555,True
robust_mad_c3,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,68.11685093727111,136.23370187454222,136.23370187454222,True
robust_mad_c3,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,68.11685093727111,681.1685093727111,681.1685093727111,True
robust_mad_c3,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,68.11685093727111,186.23370187454222,186.23370187454222,True
robust_mad_c3,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,68.11685093727111,168.11685093727112,168.11685093727112,True
robust_mad_c3,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,50.6868,25.3434,25.3434,True
robust_mad_c3,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,50.6868,101.3736,101.3736,True
robust_mad_c3,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,50.6868,506.86799999999994,506.868,True
robust_mad_c3,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,50.6868,151.3736,151.3736,True
robust_mad_c3,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,50.6868,150.6868,150.6868,True
robust_mad_c4,nuclei,nuclei_figure_2,gp,scale_0.5,0.5,0.0,True,152.6845133666992,76.3422566833496,76.3422566833496,True
robust_mad_c4,nuclei,nuclei_figure_2,gp,scale_2.0,2.0,0.0,True,152.6845133666992,305.3690267333984,305.3690267333984,True
robust_mad_c4,nuclei,nuclei_figure_2,gp,scale_10.0,10.0,0.0,True,152.6845133666992,1526.8451336669923,1526.845133666992,True
robust_mad_c4,nuclei,nuclei_figure_2,gp,affine_a2_b50,2.0,50.0,True,152.6845133666992,355.3690267333984,355.3690267333984,True
robust_mad_c4,nuclei,nuclei_figure_2,gp,affine_a1_b100,1.0,100.0,True,152.6845133666992,252.6845133666992,252.6845133666992,True
robust_mad_c4,nuclei,nuclei_figure_4,qep_q1.5,scale_0.5,0.5,0.0,True,107.69197487487793,53.845987437438964,53.845987437438964,True
robust_mad_c4,nuclei,nuclei_figure_4,qep_q1.5,scale_2.0,2.0,0.0,True,107.69197487487793,215.38394974975586,215.38394974975586,True
robust_mad_c4,nuclei,nuclei_figure_4,qep_q1.5,scale_10.0,10.0,0.0,True,107.69197487487793,1076.9197487487793,1076.9197487487793,True
robust_mad_c4,nuclei,nuclei_figure_4,qep_q1.5,affine_a2_b50,2.0,50.0,True,107.69197487487793,265.38394974975586,265.38394974975586,True
robust_mad_c4,nuclei,nuclei_figure_4,qep_q1.5,affine_a1_b100,1.0,100.0,True,107.69197487487793,207.69197487487793,207.69197487487793,True
robust_mad_c4,whole_cell,whole_cell_figure_3,gp,scale_0.5,0.5,0.0,True,82.66928334350585,41.33464167175293,41.33464167175293,True
robust_mad_c4,whole_cell,whole_cell_figure_3,gp,scale_2.0,2.0,0.0,True,82.66928334350585,165.3385666870117,165.3385666870117,True
robust_mad_c4,whole_cell,whole_cell_figure_3,gp,scale_10.0,10.0,0.0,True,82.66928334350585,826.6928334350586,826.6928334350586,True
robust_mad_c4,whole_cell,whole_cell_figure_3,gp,affine_a2_b50,2.0,50.0,True,82.66928334350585,215.3385666870117,215.3385666870117,True
robust_mad_c4,whole_cell,whole_cell_figure_3,gp,affine_a1_b100,1.0,100.0,True,82.66928334350585,182.66928334350587,182.66928334350587,True
robust_mad_c4,whole_cell,whole_cell_figure_5,raw,scale_0.5,0.5,0.0,True,59.5824,29.7912,29.7912,True
robust_mad_c4,whole_cell,whole_cell_figure_5,raw,scale_2.0,2.0,0.0,True,59.5824,119.1648,119.1648,True
robust_mad_c4,whole_cell,whole_cell_figure_5,raw,scale_10.0,10.0,0.0,True,59.5824,595.824,595.824,True
robust_mad_c4,whole_cell,whole_cell_figure_5,raw,affine_a2_b50,2.0,50.0,True,59.5824,169.1648,169.1648,True
robust_mad_c4,whole_cell,whole_cell_figure_5,raw,affine_a1_b100,1.0,100.0,True,59.5824,159.5824,159.5824,True
