"tile","p_initial","p_final","max_raw_units","components_including_background","outlier","threshold_raw_units"
1,0.76,0.76,244.013046264648,21,FALSE,185.449915161133
2,0.74,0.74,261.700012207031,27,FALSE,193.658009033203
3,0.77,0.77,247.468154907227,24,FALSE,190.550479278564
4,0.74,0.74,259.089294433594,22,FALSE,191.726077880859
5,0.75,0.75,240.430114746094,15,FALSE,180.32258605957
6,0.76,0.76,243.705261230469,22,FALSE,185.215998535156
7,0.75,0.75,241.861450195312,22,FALSE,181.396087646484
8,0.58,0.58,263.008331298828,13,FALSE,152.54483215332
9,0.69,0.69,248.682403564453,24,FALSE,171.590858459473
10,0.7,0.7,266.902160644531,15,FALSE,186.831512451172
11,0.76,0.76,250.856811523438,20,FALSE,190.651176757812
12,0.74,0.74,235.402008056641,13,FALSE,174.197485961914
13,0.73,0.73,251.721298217773,13,FALSE,183.756547698975
14,0.7,0.7,264.064880371094,15,FALSE,184.845416259766
15,0.72,0.72,248.125839233398,21,FALSE,178.650604248047
16,0.6,0.6,280.0849609375,12,FALSE,168.0509765625
