arm,label,is_probe,power,seed,sigma,rmse,rel_l1,rel_l2,rel_linf,edge_band_rmse,interior_rmse,edge_interior_ratio,edge_band_px,edge_sharpness_ratio,grad_rmse_band,grad_corr,boundary_precision,boundary_recall,boundary_f1,pred_boundary_px,true_boundary_px,fg_iou_fixed_thr,boundary_f1_otsu,fg_iou_otsu,otsu_threshold,invalid,runtime_s,final_loss,n_iters,lengthscale_0,lengthscale_1,outputscale,noise,n_nonfinite_loss,n_cholesky_retries,failed,failure_reason,inference,num_inducing,init_lengthscale,init_noise,lr,nu,dtype,learn_noise,n_train,loss_first,loss_min,tail_improve_frac,converged
identity_noisy,no smoothing,0,,1,0.1,0.10029407668861164,0.48140642330482014,0.2990099825907299,0.37516349672663585,0.10389988118146944,0.09871917335768503,1.0524792464075177,1223,1.1930444596783687,0.44200378759031056,0.9600906030183487,0.9656652360515021,1.0,0.982532751091703,233,225,0.9964788732394366,0.9933774834437086,0.9946996466431095,0.455103890857408,0.0,0.0,,0,,,,,0,0,0,,variational,,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.1,0.22089601906739642,1.0666647620023486,0.6585644635901386,0.6122224301604664,0.3457076087196107,0.13671499357178338,2.528673700577647,1223,0.29844915683371376,1.7480624346849942,0.35851681008454894,0.921161825726141,0.8977777777777778,0.9093194906318437,241,225,0.6482412060301508,0.22222222222222227,0.3825321597833446,0.26687622476264,0.0,276.77650594711304,-3.127889472417738,600,0.16216880106269646,0.13679520166971793,0.3025885879064798,0.15278625744727337,0,0,0,,variational,1024.0,0.04,0.1,0.02,2.5,float64,True,4096.0,17.06424655827909,-3.7968074941834384,-0.022299174207281537,1.0
qep_q2p0,q=2.0,0,2.0,1,0.1,0.11242881786418038,0.3858093849642352,0.33518767989298576,0.535052036271652,0.1993303796970477,0.033277039426872296,5.990027452264336,1223,0.9868660735483215,1.1412806497298122,0.8112890472676687,1.0,1.0,1.0,234,225,0.9089430894308943,1.0,0.9307432432432432,0.4106131814313274,0.0,281.19938611984253,-0.3151102184017747,600,0.11528534802128498,0.1202715560092632,0.3589028609932229,0.026193142457388026,0,0,0,,variational,1024.0,0.04,0.1,0.02,2.5,float64,True,4096.0,5.238326363234429,-0.3201705989869955,0.015811523355806833,0.0
qep_q1p8,q=1.8,0,1.8,1,0.1,0.12660375217420772,0.43999124506827453,0.3774478711346415,0.5716925209224788,0.22647026242093757,0.031916395620072716,7.095734277667209,1223,0.8602624985665096,1.2952590616306379,0.7427515122493332,1.0,1.0,1.0,231,225,0.8748019017432647,1.0,0.8705148205928237,0.3714821276948809,0.0,360.1409606933594,-0.24915131605531105,600,0.14506044992628733,0.1471397054379968,0.18791498263234954,0.030847124927046842,0,0,0,,variational,1024.0,0.04,0.1,0.02,2.5,float64,True,4096.0,4.293310426198877,-0.3200390162163833,0.009251430241047878,1.0
qep_q1p5,q=1.5,0,1.5,1,0.1,0.11548225641508171,0.3931650822249215,0.344290995244116,0.5558803322462852,0.20469912826708767,0.03429493268489974,5.968786413662152,1223,0.9474273598678009,1.1625409868497056,0.8058168843568537,1.0,1.0,1.0,229,225,0.9163879598662207,1.0,0.918918918918919,0.3952067534100675,0.0,276.3801221847534,-0.35403756951123416,600,0.13944008174208028,0.14258090185089853,0.11565434624248112,0.01787575496389857,0,0,0,,variational,1024.0,0.04,0.1,0.02,2.5,float64,True,4096.0,3.3534352575048842,-0.35431882473097565,0.00939960287039386,1.0
qep_q1p2,q=1.2,0,1.2,1,0.1,0.12363525195092391,0.41878486215143057,0.36859778517352854,0.7538080032654292,0.21951533087987907,0.03577713535685873,6.1356318411277275,1223,0.8882196824335885,1.2199476038085566,0.7845636079240812,1.0,1.0,1.0,222,225,0.8923841059602649,1.0,0.8909090909090909,0.38376042994361703,0.0,278.0926856994629,-0.29931387218464856,600,0.13859201918642913,0.13816354385262195,0.060187889765440684,0.014646773456359662,0,0,0,,variational,1024.0,0.04,0.1,0.02,2.5,float64,True,4096.0,2.848739306508019,-0.3016110466492383,0.005254354925867305,1.0
qep_q1p0,q=1.0,0,1.0,1,0.1,0.13283066023647866,0.442818897578062,0.3960123540310191,0.7589111972812415,0.23600279834677243,0.03801522180372944,6.208113149128585,1223,0.84007876327498,1.2737439553260368,0.7554918069840049,1.0,1.0,1.0,219,225,0.8692052980132451,1.0,0.8653530377668309,0.37435623858193023,0.0,276.5539708137512,-0.1874745826105524,600,0.13025297073493852,0.12620886030683354,0.036638220214064064,0.013114331525400116,0,0,0,,variational,1024.0,0.04,0.1,0.02,2.5,float64,True,4096.0,2.7042847605407863,-0.19152486389009454,0.007193686373440461,1.0
gp_control,GP control,0,,1,0.1,0.11144325224652686,0.3821297868322463,0.3322493811628269,0.5096580264864039,0.19736406327100586,0.03353870015034023,5.884666441642155,1223,0.9940142225353426,1.129971837867421,0.8152376286110709,1.0,1.0,1.0,233,225,0.9207920792079208,1.0,0.9322033898305084,0.4086979482837536,0.0,139.19989132881165,-0.3216147200315855,600,0.11545641847696698,0.11749996054919327,0.34601669625975084,0.02491285657147257,0,0,0,,variational,1024.0,0.04,0.1,0.02,2.5,float64,True,4096.0,5.23843276397166,-0.3216147200315855,0.0020660070996659117,1.0
identity_noisy,no smoothing,0,,1,0.25,0.2507351917215291,1.20351605826205,0.7475249564768247,0.9379087418165896,0.2597497029536736,0.24679793339421255,1.0524792464075179,1223,1.5412814119162364,1.099536480973484,0.7599667741921513,0.3274647887323944,1.0,0.493368700265252,1136,225,0.6229885057471264,0.4863813229571985,0.6139954853273137,0.3773218515868132,0.0,0.0,,0,,,,,0,0,0,,variational,,,,,,,,,,,,
qep_q3p0,q=3.0 (probe),1,3.0,1,0.25,0.13178814616468426,0.5233980248028998,0.3929042730281333,0.5995578540781916,0.22523726983869602,0.056263686214468464,4.003244099224612,1223,0.8824029936125107,1.241117788862088,0.7729828002230243,1.0,1.0,1.0,231,225,0.866877971473851,1.0,0.8745980707395499,0.3904904456361269,0.0,276.3213801383972,-3.3148506609541966,600,0.06609103378853866,0.06191192134592289,0.5116590684832223,0.12755099155460994,0,0,0,,variational,1024.0,0.04,0.25,0.02,2.5,float64,True,4096.0,4.432457366161153,-3.367838514465802,0.0049577786368691056,1.0
