dataset,image,condition,label,image_source,p_source,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction,n_components,comp_size_median,comp_size_mean,comp_size_p10,comp_size_p90,n_components_under_cleanup_ref,n_gt,gt_zero_coverage,gt_partial_coverage,gt_ge50_coverage,gt_ge90_coverage,gt_mean_coverage,n_outlier_tiles
nuclei,nuclei_figure_1,RR,RR  raw image + p_raw,raw,p_raw,0.7619482404019277,0.6154413452384984,0.8686028665955062,0.6786212161444504,0.1735330870969169,0.22211409445452,4123,1.0,45.6723259762309,1.0,5.0,3867,330,0,63,267,39,0.6691580019428498,2
nuclei,nuclei_figure_1,RG,RG  raw image + p_fastgp,raw,p_fastgp,0.8105718285821589,0.6814802676280386,0.9489422804000468,0.7074191781731279,0.16558200999690362,0.22211409445452,4321,1.0,41.58273547789864,1.0,5.0,4060,330,0,57,273,48,0.6991605136607946,1
nuclei,nuclei_figure_1,GR,GR  fastgp image + p_raw,fastgp,p_raw,0.7107247987564984,0.5512591866119869,0.6904098764659401,0.73227147503983,0.23558153079429675,0.22211409445452,470,43.5,543.9106382978723,2.0,832.3000000000003,237,330,2,51,277,85,0.7228772537010152,1
nuclei,nuclei_figure_1,GG,GG  fastgp image + p_fastgp,fastgp,p_fastgp,0.8503934115334899,0.739725589662679,0.9520318725099601,0.7683633165161976,0.17926324442281888,0.22211409445452,422,391.0,460.95971563981044,3.0,1106.9,166,330,0,32,298,87,0.7596118434191035,1
whole_cell,whole_cell_figure_1,RR,RR  raw image + p_raw,raw,p_raw,0.8140654390170461,0.68643369187446,0.7696562331314655,0.863913281652031,0.37441029900332223,0.33356035437430787,366,6.0,369.5,1.0,483.0,250,403,0,4,399,170,0.8635512248337553,1
whole_cell,whole_cell_figure_1,RG,RG  raw image + p_fastgp,raw,p_fastgp,0.8567215553706858,0.7493551193895387,0.912028489761492,0.8077389153566508,0.29541805094130674,0.33356035437430787,347,50.0,307.507204610951,1.0,754.0000000000016,173,403,0,7,396,90,0.8119016596173187,1
whole_cell,whole_cell_figure_1,GR,GR  fastgp image + p_raw,fastgp,p_raw,0.8160095439712746,0.689202805492443,0.769415138036246,0.8686110788333526,0.3765642303433001,0.33356035437430787,289,12.0,470.6401384083045,1.0,613.2,176,403,0,4,399,177,0.8687395471060442,1
whole_cell,whole_cell_figure_1,GG,GG  fastgp image + p_fastgp,fastgp,p_fastgp,0.8584111595558307,0.7519442457249671,0.9112791207152113,0.8113411131953321,0.2969795127353267,0.33356035437430787,314,147.0,341.6210191082803,2.0,844.8999999999999,137,403,0,7,396,95,0.8159565945339963,1
