arm,rec_min,rec_max,rec_mean,rec_std,rmse_to_raw,maxabs_to_raw,corr_to_raw,mean_grad_mag,dataset,runtime_sec
raw,105.0,255.0,169.1350743132658,19.56312995591895,0.0,0.0,1.0,4.972139029112463,nuclei,0.0
gp_isotropic_gpytorch_2025,124.28715515136719,255.0,167.96939775812666,17.075340620275014,7.735640584734989,69.29647827148438,0.9217292464784703,1.173607076426228,nuclei,503.99193477630615
paper_fast_gp,113.49283441313781,261.0308445772505,169.1350743132658,18.836080138056605,5.051976039964525,32.11479526432231,0.9660863545152595,1.5431300039195541,nuclei,3.5256450176239014
paper_fast_gp_ms8,113.49283441313781,261.0308445772505,169.1350743132658,18.836080138056605,5.051976039964525,32.11479526432231,0.9660863545152595,1.5431300039195541,nuclei,19.061121940612793
PAIR:raw|gp_isotropic_gpytorch_2025,,,,,7.735640584734989,69.29647827148438,,,nuclei,
PAIR:raw|paper_fast_gp,,,,,5.051976039964525,32.11479526432231,,,nuclei,
PAIR:raw|paper_fast_gp_ms8,,,,,5.051976039964525,32.11479526432231,,,nuclei,
PAIR:gp_isotropic_gpytorch_2025|paper_fast_gp,,,,,5.685425348468279,56.212825394323374,,,nuclei,
PAIR:gp_isotropic_gpytorch_2025|paper_fast_gp_ms8,,,,,5.685425348468279,56.212825394323374,,,nuclei,
PAIR:paper_fast_gp|paper_fast_gp_ms8,,,,,0.0,0.0,,,nuclei,
raw,0.0,229.0,45.19576411960133,40.9611701143946,0.0,0.0,1.0,8.195794228819706,whole_cell,0.0
gp_isotropic_gpytorch_2025,-3.70595645904541,224.33291625976562,44.02381100950315,36.810607845179035,9.870196172103176,113.26446533203125,0.9738626342801773,6.199021256542999,whole_cell,273.340185880661
paper_fast_gp,-0.7067679364606243,229.35066628242927,45.19576411960133,40.90563400194418,1.065172819974982,16.804919287931497,0.9996623455427704,8.087281722451566,whole_cell,14.514925718307495
paper_fast_gp_ms8,-0.7316942934517663,228.18396291007272,45.195764119601435,40.94274724687036,0.5898610416209665,9.684274029088968,0.9998963674350395,8.14708478537366,whole_cell,55.67879819869995
PAIR:raw|gp_isotropic_gpytorch_2025,,,,,9.870196172103176,113.26446533203125,,,whole_cell,
PAIR:raw|paper_fast_gp,,,,,1.065172819974982,16.804919287931497,,,whole_cell,
PAIR:raw|paper_fast_gp_ms8,,,,,0.5898610416209665,9.684274029088968,,,whole_cell,
PAIR:gp_isotropic_gpytorch_2025|paper_fast_gp,,,,,9.687646418913898,110.4061001961276,,,whole_cell,
PAIR:gp_isotropic_gpytorch_2025|paper_fast_gp_ms8,,,,,9.803218931520696,112.3107962612201,,,whole_cell,
PAIR:paper_fast_gp|paper_fast_gp_ms8,,,,,0.8340472240061496,13.530950788696998,,,whole_cell,
