dataset,arm,beta1,beta2,nugget,neg_log_lik,eff_range_rows_px,eff_range_cols_px,degenerate_axes,source_tile,n_obj_evals,optim_method,runtime_sec,n_uncovered_px,input_scale
nuclei,paper_fast_gp,35.503950708599106,23.688954278724278,0.1705972631730777,116922.52190155089,7.914612159822017,10.089090349363909,none,"tile(i=1,j=1)",112,L-BFGS-B,3.5256450176239014,2256,255.0
nuclei,paper_fast_gp_ms8,35.503950708599106,23.688954278724278,0.1705972631730777,116922.52190155089,7.914612159822017,10.089090349363909,none,"tile(i=1,j=1)",628,L-BFGS-B,19.061121940612793,2256,255.0
whole_cell,paper_fast_gp,25232.1719869518,37.99262186398631,0.0022513212375688822,61119.23543838743,0.00788675664159661,5.237859095706018,rows,"tile(i=1,j=1)",156,L-BFGS-B,14.514925718307495,1200,255.0
whole_cell,paper_fast_gp_ms8,81.01077812334745,62.3365629464182,0.0019542913637209036,41016.74909222603,2.456463258469157,3.1923479671320947,none,"tile(i=1,j=1)",668,L-BFGS-B,55.67879819869995,1200,255.0
