"dataset","condition","tile","p_applied","tile_max_recipient","abs_threshold","fg_fraction_tile","n_connected_tile"
"nuclei","GG",1,0.73,0.973392053494242,0.710576199050797,0.199098699763628,28
"nuclei","GG",2,0.74,1.01516160471841,0.751219587491623,0.190395981087465,39
"nuclei","GG",3,0.75,0.99175129930369,0.743813474477767,0.210549645390068,33
"nuclei","GG",4,0.74,1.00066301336207,0.740490629887932,0.185534869976371,29
"nuclei","GG",5,0.7,0.933541843301088,0.653479290310762,0.398330378250545,250
"nuclei","GG",6,0.75,0.969899093531862,0.727424320148896,0.157949172576836,26
"nuclei","GG",7,0.74,0.95844225143424,0.709247266061338,0.127437943262414,24
"nuclei","GG",8,0.66,1.01409681501906,0.66930389791258,0.276817375886501,29
"nuclei","GG",9,0.76,0.978399981871319,0.743583986222202,0.201507092198563,30
"nuclei","GG",10,0.73,1.00547747546158,0.733998557086953,0.166681442080387,17
"nuclei","GG",11,0.76,0.963304104150463,0.732111119154352,0.177053782505891,21
"nuclei","GG",12,0.71,0.953758475610512,0.677168517683463,0.0967641843971428,19
"nuclei","GG",13,0.75,0.959335024525302,0.719501268393976,0.198315602836897,18
"nuclei","GG",14,0.71,1.01344871584816,0.719548588252194,0.1490986997636,20
"nuclei","GG",15,0.65,0.98974258654775,0.643332681256038,0.218011229314397,76
"nuclei","GG",16,0.66,1.01054571283202,0.666960170469133,0.107195626477537,14
