dataset,image,role,arm,variant,oracle,ap50,ap75,n_pred,n_gt,n_markers,merged,rule,scope,fg_dice,fg_iou
nuclei,nuclei_figure_5,heldout_candidate,qep_q1.5,real_pipeline,False,0.7325581395348837,0.33035714285714285,147,151.0,150.0,17,,,,
nuclei,nuclei_figure_5,heldout_candidate,qep_q1.5,ORACLE_markers_real_fg,True,0.808641975308642,0.33181818181818185,142,151.0,149.0,15,,,,
whole_cell,whole_cell_figure_1,development,(none),ORACLE_foreground,True,0.684931506849315,0.44422700587084146,335,403.0,341.0,166,,,,
whole_cell,whole_cell_figure_1,development,raw,real_pipeline,False,0.5276073619631901,0.07947976878612717,344,403.0,525.0,147,,,,
whole_cell,whole_cell_figure_1,development,raw,ORACLE_markers_real_fg,True,0.6185344827586207,0.08840579710144927,348,403.0,398.0,129,,,,
whole_cell,whole_cell_figure_1,development,gp,real_pipeline,False,0.44529750479846447,0.03576341127922971,350,403.0,407.0,144,,,,
whole_cell,whole_cell_figure_1,development,gp,ORACLE_markers_real_fg,True,0.49490835030549896,0.04261363636363636,331,403.0,397.0,142,,,,
whole_cell,whole_cell_figure_1,development,qep_q2,real_pipeline,False,0.44529750479846447,0.03576341127922971,350,403.0,407.0,144,,,,
whole_cell,whole_cell_figure_1,development,qep_q2,ORACLE_markers_real_fg,True,0.49490835030549896,0.04261363636363636,331,403.0,397.0,142,,,,
whole_cell,whole_cell_figure_1,development,qep_q1.5,real_pipeline,False,0.4502923976608187,0.07050359712230216,341,403.0,382.0,155,,,,
whole_cell,whole_cell_figure_1,development,qep_q1.5,ORACLE_markers_real_fg,True,0.5135135135135135,0.07692307692307693,325,403.0,397.0,153,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,(none),ORACLE_foreground,True,0.25,0.10294117647058823,109,41.0,115.0,4,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,raw,real_pipeline,False,0.13333333333333333,0.02,112,41.0,584.0,2,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,raw,ORACLE_markers_real_fg,True,0.40384615384615385,0.04285714285714286,32,41.0,39.0,13,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,gp,real_pipeline,False,0.14285714285714285,0.014084507042253521,103,41.0,141.0,0,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,gp,ORACLE_markers_real_fg,True,0.36363636363636365,0.0273972602739726,34,41.0,39.0,9,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q2,real_pipeline,False,0.14285714285714285,0.014084507042253521,103,41.0,141.0,0,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q2,ORACLE_markers_real_fg,True,0.36363636363636365,0.0273972602739726,34,41.0,39.0,9,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q1.5,real_pipeline,False,0.15254237288135594,0.014925373134328358,95,41.0,124.0,0,,,,
whole_cell,whole_cell_figure_2,heldout_candidate,qep_q1.5,ORACLE_markers_real_fg,True,0.34545454545454546,0.027777777777777776,33,41.0,39.0,11,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,(none),ORACLE_foreground,True,0.7291196388261851,0.5258964143426295,349,417.0,352.0,147,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,raw,real_pipeline,False,0.4704761904761905,0.026595744680851064,355,417.0,461.0,108,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,raw,ORACLE_markers_real_fg,True,0.49233716475095785,0.025,362,417.0,414.0,90,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,gp,real_pipeline,False,0.30887372013651876,0.006561679790026247,350,417.0,384.0,110,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,gp,ORACLE_markers_real_fg,True,0.3456140350877193,0.00788436268068331,350,417.0,407.0,97,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q2,real_pipeline,False,0.30887372013651876,0.006561679790026247,350,417.0,384.0,110,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q2,ORACLE_markers_real_fg,True,0.3456140350877193,0.00788436268068331,350,417.0,407.0,97,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q1.5,real_pipeline,False,0.3613595706618962,0.014666666666666666,344,417.0,373.0,118,,,,
whole_cell,whole_cell_figure_3,heldout_candidate,qep_q1.5,ORACLE_markers_real_fg,True,0.39488117001828155,0.017333333333333333,346,417.0,408.0,115,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,(none),ORACLE_foreground,True,0.29292929292929293,0.14798206278026907,183,73.0,185.0,14,,,,
whole_cell,whole_cell_figure_4,heldout_candidate,raw,real_pipeline,False,0.15846994535519127,0.05472636815920398,139,73.0,2460.0,15,,,,
