pilot,role,dataset,image,arm,wm,ap50,ap75,n_pred,n_gt,merged,split,n_markers,mean_matched_iou
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,raw,0.0,0.7804878048780488,0.5051546391752577,69,77,13,0,90,0.7190860041732863
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,gp,1.0,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,gp,0.7,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,gp,0.5,0.4835164835164835,0.06299212598425197,58,77,22,0,65,0.4921596176073448
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,gp,0.3,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,gp,0.0,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q2,1.0,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q2,0.7,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q2,0.5,0.4835164835164835,0.06299212598425197,58,77,22,0,65,0.4921596176073448
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q2,0.3,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q2,0.0,0.45652173913043476,0.06349206349206349,57,77,24,0,64,0.484431128454854
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q1.5,1.0,0.3894736842105263,0.03125,55,77,29,0,59,0.4421775170239045
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q1.5,0.7,0.3894736842105263,0.03125,55,77,29,0,59,0.4421775170239045
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q1.5,0.5,0.3894736842105263,0.03125,55,77,29,0,59,0.4421775170239045
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q1.5,0.3,0.3894736842105263,0.03125,55,77,29,0,59,0.4421775170239045
P2_markers,heldout_candidate,nuclei,nuclei_figure_2,qep_q1.5,0.0,0.3894736842105263,0.03125,55,77,29,0,59,0.4421775170239045
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,raw,1.0,0.6654545454545454,0.30113636363636365,207,251,71,1,3985,0.6230864340079662
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,raw,0.7,0.6425992779783394,0.2853107344632768,204,251,76,1,3982,0.6132722254682298
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,raw,0.5,0.6389891696750902,0.2824858757062147,203,251,77,1,3981,0.6100267867004424
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,raw,0.3,0.6485507246376812,0.2853107344632768,204,251,76,1,3983,0.6133088794599272
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,raw,0.0,0.6594202898550725,0.29745042492917845,207,251,71,2,3986,0.621450735887037
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,gp,1.0,0.47,0.13953488372093023,190,251,104,2,225,0.5105525168805696
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,gp,0.7,0.4682274247491639,0.13730569948186527,188,251,104,2,223,0.5062386162346587
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,gp,0.5,0.47157190635451507,0.13695090439276486,189,251,103,2,224,0.5089182555779993
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,gp,0.3,0.4584717607973422,0.1343669250645995,188,251,105,3,223,0.5039995092345508
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,gp,0.0,0.4666666666666667,0.13695090439276486,189,251,103,3,226,0.5069028868213795
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q2,1.0,0.47,0.13953488372093023,190,251,104,2,225,0.5105525168805696
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q2,0.7,0.4682274247491639,0.13730569948186527,188,251,104,2,223,0.5062386162346587
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q2,0.5,0.47157190635451507,0.13695090439276486,189,251,103,2,224,0.5089182555779993
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q2,0.3,0.4584717607973422,0.1343669250645995,188,251,105,3,223,0.5039995092345508
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q2,0.0,0.4666666666666667,0.13695090439276486,189,251,103,3,226,0.5069028868213795
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q1.5,1.0,0.45695364238410596,0.12244897959183673,189,251,104,2,227,0.5043268882388268
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q1.5,0.7,0.4503311258278146,0.12596401028277635,187,251,103,0,225,0.5000446155769093
P2_markers,heldout_candidate,nuclei,nuclei_figure_3,qep_q1.5,0.5,0.45695364238410596,0.12531969309462915,189,251,102,1,227,0.5045325637191606
