"tile","p_initial","p_final","max_raw_units","components_including_background","outlier","threshold_raw_units"
1,0.23,0.23,229.350677817944,37,FALSE,52.7506558981271
2,0.18,0.18,225.125529144039,39,FALSE,40.522595245927
3,0.21,0.21,221.58851692853,46,FALSE,46.5335885549913
4,0.2,0.2,225.84365737132,40,FALSE,45.168731474264
5,0.17,0.17,222.535752310523,41,FALSE,37.8310778927889
6,0.21,0.21,217.188342318797,46,FALSE,45.6095518869474
7,0.23,0.2125,224.142400347476,59,TRUE,47.6302600738386
8,0.25,0.25,208.192040035769,45,FALSE,52.0480100089422
9,0.25,0.25,222.880942393782,42,FALSE,55.7202355984455
