"tile","p_initial","p_final","max_raw_units","components_including_background","outlier","threshold_raw_units"
1,0.24,0.24,237.436477661133,27,FALSE,56.9847546386719
2,0.19,0.19,225.151382446289,26,FALSE,42.7787626647949
3,0.23,0.23,213.104568481445,31,FALSE,49.0140507507324
4,0.21,0.21,228.009185791016,34,FALSE,47.8819290161133
5,0.23,0.23,212.901412963867,33,FALSE,48.9673249816895
6,0.23,0.23,199.537506103516,38,FALSE,45.8936264038086
7,0.2,0.2,231.624038696289,34,FALSE,46.3248077392578
8,0.29,0.29,208.546768188477,39,FALSE,60.4785627746582
9,0.27,0.27,215.829452514648,39,FALSE,58.2739521789551
