dataset,metric,A,B,C,D,recon_effect_current_CmA,recon_effect_paper_DmB,downstream_effect_noGP_BmA,downstream_effect_fastgp_DmC,interaction
nuclei,ap50,0.6933333333333334,0.4014732965009208,0.6456692913385826,0.6481012658227848,-0.04766404199475072,0.24662796932186404,-0.2918600368324126,0.0024319744842021818,0.29429201131661475
nuclei,ap75,0.35683760683760685,0.1478129713423831,0.33974358974358976,0.28402366863905326,-0.01709401709401709,0.13621069729667015,-0.20902463549522374,-0.055719921104536496,0.15330471439068724
nuclei,fg_dice,0.8393101933871858,0.7619482404019277,0.8784876618886996,0.8503934115334899,0.039177468501513824,0.08844517113156225,-0.07736195298525816,-0.028094250355209738,0.04926770263004843
whole_cell,ap50,0.5276073619631901,0.42911877394636017,0.5276073619631901,0.583864118895966,0.0,0.15474534494960585,-0.09848858801682997,0.056256756932775875,0.15474534494960585
whole_cell,ap75,0.07947976878612717,0.1303030303030303,0.07020057306590258,0.17111459968602827,-0.009279195720224592,0.04081156938299796,0.05082326151690314,0.10091402662012569,0.05009076510322255
whole_cell,fg_dice,0.8274956339504017,0.8140654390170461,0.8230968371290286,0.8584111595558307,-0.004398796821373119,0.044345720538784605,-0.013430194933355621,0.0353143224268021,0.048744517360157724
