dataset,cell,label,ap50,ap75,tp50,fp50,fn50,n_pred,n_gt,mean_matched_iou,merged,split,missed,spurious,fg_dice,fg_iou,fg_precision,fg_recall,fg_fraction,gt_fg_fraction
nuclei,D_robust,D(robust fit) paper_fast_gp MODIFIED opt + paper downstream,0.713527851458886,0.29979879275653926,269,47,61,316,330,0.6805961448776949,18,0,61,12,0.8533398141743471,0.7441959045258901,0.9768865299833069,0.7575345193839618,0.17224016160186373,0.22211409445452
whole_cell,D_robust,D(robust fit) paper_fast_gp MODIFIED opt + paper downstream,0.5257731958762887,0.15085536547433903,255,82,148,337,403,0.5556039359432813,72,16,148,26,0.8346246240184105,0.7161852234224622,0.8125751751137945,0.8579040852575488,0.3521677740863787,0.33356035437430787
