q,d,a_qd,rescale,rel_err_vs_C,rel_err_vs_aC,emp_var0,C00,pkg_variance0
1.0,1,3.0000000000000004,False,1.988874301425788,0.003708566191404094,10.086461466725561,3.374669005623287,3.374669005623287
1.0,1,3.0000000000000004,True,0.003708566191402471,0.6679028553971342,3.3621538222418588,3.374669005623287,3.374669005623287
1.0,2,3.9999999999999973,False,3.0271642001700534,0.007439284622341789,9.000323094405662,2.230384764179677,2.2303847641796763
1.0,2,3.9999999999999973,True,0.0074392846223412185,0.7483041636377156,2.2500807736014155,2.230384764179677,2.2303847641796763
1.0,5,7.000000000000001,False,6.017055120293187,0.009800692049863172,18.838820293358026,2.6766340153192982,2.676634015319298
1.0,5,7.000000000000001,True,0.009800692049862893,0.8568033795066613,2.691260041908282,2.6766340153192982,2.676634015319298
1.0,20,22.00000000000008,False,21.03169147011797,0.009418660177166353,49.40884935391544,2.2391445821470954,2.239144582147095
1.0,20,22.00000000000008,True,0.009418660177165968,0.9544821329721589,2.245856788814328,2.2391445821470954,2.239144582147095
1.2,1,1.9386754917356384,False,0.9319710535478529,0.0034582570504273786,6.519762834169307,3.374669005623287,3.374669005623287
1.2,1,1.9386754917356384,True,0.003458257050427855,0.48596774076026616,3.36299853274173,3.374669005623287,3.374669005623287
1.2,2,2.3883647128160894,False,1.4011498190853102,0.005949662919705102,5.365942236893142,2.230384764179677,2.2303847641796763
1.2,2,2.3883647128160894,True,0.005949662919705573,0.5790656200914114,2.246701355157031,2.230384764179677,2.2303847641796763
1.2,5,3.5470581219163164,False,2.5533545682820065,0.00844822894983695,9.528853042117245,2.6766340153192982,2.676634015319298
1.2,5,3.5470581219163164,True,0.008448228949837268,0.7175929611174143,2.686410178407016,2.6766340153192982,2.676634015319298
1.2,20,7.772936248311826,False,6.782055062816919,0.008916899059879465,17.440267632223662,2.2391445821470954,2.239144582147095
1.2,20,7.772936248311826,True,0.008916899059879073,0.8712040720544596,2.2437167982705937,2.2391445821470954,2.239144582147095
1.5,1,1.3373009581255502,False,0.333286441840782,0.003001954242517777,4.499400430897842,3.374669005623287,3.374669005623287
1.5,1,1.3373009581255502,True,0.0030019542425183134,0.25446995330434785,3.364538403684761,3.374669005623287,3.374669005623287
1.5,2,1.500111578334585,False,0.5065227140519649,0.004826669539319506,3.365841408103518,2.230384764179677,2.2303847641796763
1.5,2,1.500111578334585,True,0.004826669539319337,0.33054240626979214,2.243727371160107,2.230384764179677,2.2303847641796763
1.5,5,1.8524094753294658,False,0.8547099337580486,0.007241651833783508,4.9686423815556315,2.6766340153192982,2.676634015319298
1.5,5,1.8524094753294658,True,0.00724165183378342,0.45953818251906975,2.6822592130564997,2.6766340153192982,2.676634015319298
1.5,20,2.7737456128987485,False,1.7763517187074158,0.00853781553838916,6.217787942066549,2.2391445821470954,2.239144582147095
1.5,20,2.7737456128987485,True,0.008537815538389304,0.639165569465201,2.2416576030447715,2.2391445821470954,2.239144582147095
1.8,1,1.0905260364335227,False,0.08771785695329314,0.0025750687158406236,3.6706877387232626,3.374669005623287,3.374669005623287
1.8,1,1.0905260364335227,True,0.002575068715842965,0.0853726569003757,3.3659790010405817,3.374669005623287,3.374669005623287
1.8,2,1.136421274852585,False,0.14068040834858142,0.0042612159052323835,2.5477846813616543,2.230384764179677,2.2303847641796763
1.8,2,1.136421274852585,True,0.0042612159052304276,0.11677582120631164,2.241936804370498,2.230384764179677,2.2303847641796763
1.8,5,1.2233637758509412,False,0.22454521434489783,0.006487601609591577,3.2783661697073434,2.6766340153192982,2.676634015319298
1.8,5,1.2233637758509412,True,0.006487601609592439,0.18196032964339498,2.6797966675341467,2.6766340153192982,2.676634015319298
1.8,20,1.4034136427323076,False,0.40460788337143094,0.008350318527723924,3.1440896482501413,2.2391445821470954,2.239144582147095
1.8,20,1.4034136427323076,True,0.008350318527723812,0.28699209520342345,2.2403157219769594,2.2391445821470954,2.239144582147095
