q,batch_d,mu0,C00,pkg_var0,a_qd,A_emp_var,A_emp_absdev,A_emp_q05,A_emp_q95,A_emp_tail,A_emp_kurt,A_n_draws,B_emp_var,B_emp_absdev,B_emp_q05,B_emp_q95,B_emp_tail,B_emp_kurt,B_n_draws,C_emp_var,C_emp_absdev,C_emp_q05,C_emp_q95,C_emp_tail,C_emp_kurt,C_theory_var,C_n_draws
1.2,1,0.09564023271531807,0.005187737090722955,0.005187737090722955,1.9386754917356384,0.010182320217365036,0.06476929051895845,-0.06956442814301929,0.2630232949445278,0.315325,7.310403165065766,40000.0,0.005252204539011897,0.04651752286612215,-0.023010311817329432,0.2158553124585448,0.22355,7.310403165065766,40000.0,,,,,,,,
1.2,2,0.09564023271531585,0.005187737090723177,0.005187737090723177,2.3883647128160894,0.012435452293014444,0.07692475427987558,-0.08738607685399112,0.2789676870303816,0.3854,6.343650999695493,40000.0,0.005206680632269086,0.04977551872697504,-0.022790168327635717,0.21426549477631512,0.23795,6.343650999695492,40000.0,,,,,,,,
1.2,10,0.09564023271531807,0.005187737090722844,0.005187737090722844,5.146287093129657,0.026771520005863487,0.12578378357385056,-0.1721462538933246,0.36359830337665267,0.622525,3.854034096528534,40000.0,0.005202103870497966,0.05544694838300525,-0.02240315156512189,0.2137592532331381,0.287525,3.854034096528534,40000.0,,,,,,,,
1.2,50,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,13.872359538480872,0.07084918588343085,0.21051421720024355,-0.3410700741865423,0.5307667178641073,0.78055,3.207682566950914,40000.0,0.005107219553162574,0.05652053491766071,-0.02161123124005973,0.21246645958272925,0.3046,3.2076825669509135,40000.0,,,,,,,,
1.2,100,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,21.783198545896795,0.11160259072994852,0.26580144237422976,-0.4556338837273167,0.6397829166998393,0.8269,3.07389050398587,40000.0,0.005123333494610717,0.05695036454037361,-0.02247523578119252,0.21222772726798225,0.313375,3.07389050398587,40000.0,,,,,,,,
1.2,200,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,34.389305543979184,0.17597049461766034,0.3335871850503131,-0.5961560835847953,0.7790425015554836,0.863,3.067961910203977,40000.0,0.005117012159277783,0.05688498602277605,-0.0223283990155577,0.21217746871568452,0.3112,3.0679619102039766,40000.0,,,,,,,,
1.2,1000,0.09564023271531807,0.005187737090722844,0.005187737090722955,100.11108642889764,0.5141330214459469,0.5713981616670469,-1.089570996030572,1.2679825180010629,0.919175,3.0224414407904425,40000.0,0.00515969724720396,0.05737049001737168,-0.023499429033135327,0.2138141476343884,0.31935,2.9417837890991514,40000.0,,,,,,,,
1.2,8192,0.09564023271531807,0.005187737090722844,0.005187737090722955,406.42978590161874,2.0828419574183865,1.1607794578072521,-2.271171768048106,2.4838294053397907,0.961625,2.8698505104024576,8000.0,0.005122209394801763,0.05754926128956711,-0.021005140478988285,0.21386567800506687,0.31775,2.874335714734323,8000.0,,,,,,,,
1.2,-1,0.09564023271531807,0.005187737090722844,,1.9386754917356384,,,,,,,,,,,,,,,0.010079265688499298,0.06473635954027002,-0.06950751384779671,0.26146550077288877,0.3173975,7.353582144255527,0.01005733875535232,400000.0
1.5,1,0.09564023271531807,0.005187737090722955,0.005187737090722955,1.3373009581255502,0.006993860706922624,0.05984362661856303,-0.044291313302274336,0.23704596100136907,0.315325,4.710412118213521,40000.0,0.005229833018833456,0.05174916262768418,-0.025364137186312398,0.2179193866209255,0.26445,4.710412118213522,40000.0,,,,,,,,
1.5,2,0.09564023271531585,0.005187737090723177,0.005187737090723177,1.500111578334585,0.007795162399846771,0.06575512146668322,-0.051552209422860755,0.24282549336353113,0.355825,4.303447610349105,40000.0,0.00519638839698905,0.05368683513061435,-0.024537423371118604,0.21581202535782462,0.274425,4.303447610349105,40000.0,,,,,,,,
1.5,10,0.09564023271531807,0.005187737090722844,0.005187737090722844,2.247080718163744,0.011689896204635966,0.08496037800847721,-0.08161927559871306,0.2723535151894892,0.4874,3.334627971116225,40000.0,0.005202259140111645,0.05667703199076701,-0.022609509798534034,0.213525588203999,0.3036,3.334627971116224,40000.0,,,,,,,,
1.5,50,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,3.716561229617604,0.01900703510303345,0.1095530895327757,-0.13059244762808103,0.3209255910671868,0.596675,3.0925022535956757,40000.0,0.005114145557878765,0.056826902412222595,-0.021710199875482093,0.2124992745603598,0.310075,3.092502253595676,40000.0,,,,,,,,
1.5,100,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,4.662149524357213,0.023887536733671635,0.12327076135530715,-0.1590877392793337,0.3468074451752409,0.6401,3.0144631072151573,40000.0,0.005123717420231195,0.05709091181096694,-0.022333015969472493,0.2119643716976762,0.315975,3.014463107215157,40000.0,,,,,,,,
1.5,200,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,5.861009478288016,0.030009016849596674,0.13791497149679963,-0.19058107999093066,0.37779249699921136,0.67545,3.041214231331163,40000.0,0.005120110615886686,0.056967243052398815,-0.02258651896183314,0.21218622074547336,0.31245,3.041214231331163,40000.0,,,,,,,,
1.5,1000,0.09564023271531807,0.005187737090722844,0.005187737090722955,10.004442963323584,0.05138737287657318,0.1806827203630234,-0.2786254490372035,0.46616366160802725,0.748425,3.018804869183747,40000.0,0.005159813381542625,0.05738635524331314,-0.02336508976457964,0.21365658700905193,0.319825,2.9355694648122945,40000.0,,,,,,,,
1.5,8192,0.09564023271531807,0.005187737090722844,0.005187737090722955,20.159830435218847,0.10331221827255542,0.25852982889446163,-0.43111238470516716,0.6275404493321128,0.82975,2.869627635104809,8000.0,0.005122063797683891,0.05754968617253438,-0.021224970953006222,0.2139325187243012,0.3185,2.873764331123914,8000.0,,,,,,,,
1.5,-1,0.09564023271531807,0.005187737090722844,,1.3373009581255502,,,,,,,,,,,,,,,0.006951004568364269,0.05990036081006841,-0.04425274597076694,0.23599215404985305,0.3173975,4.685152859947207,0.006937565781927113,400000.0
1.8,1,0.09564023271531807,0.005187737090722955,0.005187737090722955,1.0905260364335227,0.005686568454597183,0.05792756625017221,-0.0296290306286779,0.22200829678656522,0.315325,3.5065419862848213,40000.0,0.005214518741060639,0.055471161954551484,-0.02431701811880448,0.21664968990028055,0.297325,3.5065419862848213,40000.0,,,,,,,,
1.8,2,0.09564023271531585,0.005187737090723177,0.005187737090723177,1.136421274852585,0.0059010583101695305,0.05996837495305835,-0.03207013792153082,0.22286963960232195,0.332225,3.378878054460485,40000.0,0.005192667931120003,0.05625389556085869,-0.02415967611108361,0.21498896899329675,0.3039,3.378878054460484,40000.0,,,,,,,,
1.8,10,0.09564023271531807,0.005187737090722844,0.005187737090722844,1.3069508626900381,0.006799807582875715,0.0656010460876122,-0.04024366690898419,0.23082608942366975,0.377975,3.067496416020924,40000.0,0.005202802780878827,0.057382720594102606,-0.023220491471378127,0.21389036295576547,0.315125,3.0674964160209237,40000.0,,,,,,,,
1.8,50,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,1.5482392585906746,0.007925119724009265,0.0709229922500665,-0.05102409682751723,0.24125584818761286,0.419225,3.030711263815068,40000.0,0.005118795224985649,0.05699910185066426,-0.022230358925767378,0.21266799809904258,0.31315,3.0307112638150677,40000.0,,,,,,,,
1.8,100,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,1.670152809084188,0.00855784370518672,0.07388050838760404,-0.0568964504917422,0.2461694829894219,0.437975,2.982393964274368,40000.0,0.005123988451020583,0.0571678383830789,-0.02239079662360881,0.2121179348779612,0.3173,2.9823939642743675,40000.0,,,,,,,,
1.8,200,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,1.802758437971583,0.009234075291805328,0.0765502843645441,-0.0632743452309252,0.2520202503290656,0.45215,3.0271047024052624,40000.0,0.005122192245676169,0.057013544256624776,-0.02271704574513207,0.21210980731042814,0.31285,3.027104702405263,40000.0,,,,,,,,
1.8,1000,0.09564023271531807,0.005187737090722844,0.005187737090722955,2.154700577688319,0.011068709042306939,0.08386519845409104,-0.07825316347775726,0.26752993026694316,0.4937,3.0171262416460025,40000.0,0.005159877904885457,0.05739514646099632,-0.023414857121312974,0.213540732267843,0.319625,2.932103073914715,40000.0,,,,,,,,
1.8,8192,0.09564023271531807,0.005187737090722844,0.005187737090722955,2.721621013939447,0.013947250442217953,0.09499183753262211,-0.0977709571189961,0.2914089791134497,0.55475,2.8695683874597884,8000.0,0.005121965694827993,0.057549750922428276,-0.021196250653586074,0.21408575611160024,0.31825,2.873461770376375,8000.0,,,,,,,,
1.8,-1,0.09564023271531807,0.005187737090722844,,1.0905260364335227,,,,,,,,,,,,,,,0.005666761039942956,0.05802694598857864,-0.029600258156908123,0.22122302399815752,0.3173975,3.476239874821496,0.005657362367605157,400000.0
2.0,1,0.09564023271531807,0.005187737090722955,0.005187737090722955,0.9999999999999994,0.005187641422714347,0.057434663117096114,-0.02232263253235662,0.21500255405295943,0.316575,2.9944204705873574,40000.0,0.0051876414227143485,0.05743466311709612,-0.022322632532356633,0.21500255405295943,0.316575,2.994420470587357,40000.0,,,,,,,,
2.0,2,0.09564023271531585,0.005187737090723177,0.005187737090723177,1.0,0.005235008241558144,0.05770674706656825,-0.023727107362980865,0.21495223337295208,0.31905,2.9851379489262557,40000.0,0.005235008241558144,0.05770674706656825,-0.023727107362980865,0.21495223337295208,0.31905,2.9851379489262557,40000.0,,,,,,,,
2.0,10,0.09564023271531807,0.005187737090722844,0.005187737090722844,1.0000000000000018,0.005226418466024337,0.05774712316999719,-0.023319286836580366,0.21473652864641982,0.3185,2.9909691601828503,40000.0,0.005226418466024333,0.05774712316999717,-0.02331928683658031,0.21473652864641976,0.3185,2.9909691601828503,40000.0,,,,,,,,
2.0,50,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,0.9999999999999929,0.005157974003656388,0.057225810672061894,-0.023262652520044523,0.2132247225050038,0.315675,3.005681209978343,40000.0,0.005157974003656388,0.057225810672061894,-0.023262652520044523,0.2132247225050038,0.315675,3.005681209978343,40000.0,,,,,,,,
2.0,100,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,1.0000000000000284,0.005133589075778115,0.057238902743556856,-0.022269397063661225,0.21229105536229032,0.318075,2.965726322005092,40000.0,0.005133589075778115,0.057238902743556856,-0.022269397063661225,0.21229105536229032,0.318075,2.965726322005092,40000.0,,,,,,,,
2.0,200,0.09564023271531807,0.0051877370907230345,0.0051877370907230345,1.0,0.005134752952565775,0.05707082499895325,-0.022773679649309733,0.21181244097347454,0.31425,3.032141733990434,40000.0,0.005134752952565775,0.05707082499895325,-0.022773679649309733,0.21181244097347454,0.31425,3.032141733990434,40000.0,,,,,,,,
2.0,1000,0.09564023271531807,0.005187737090722844,0.005187737090722955,1.0,0.005268392438023184,0.05783205510300472,-0.024870288092126054,0.2147713133320884,0.321325,3.002057937126518,40000.0,0.0051852221853746884,0.05741358211429853,-0.02301153358784419,0.21396888415235066,0.318375,3.006806792288494,40000.0,,,,,,,,
2.0,8192,0.09564023271531807,0.005187737090722844,0.005187737090722955,0.999999999996362,0.005225440470124533,0.05765221484333028,-0.02230325996204268,0.21392401503965017,0.321625,3.0105466674805434,8000.0,0.0052252323328713995,0.057649672502913654,-0.02230325996204268,0.21392401503965017,0.321625,3.010759387348794,8000.0,,,,,,,,
2.0,-1,0.09564023271531807,0.005187737090722844,,0.9999999999999994,,,,,,,,,,,,,,,0.005195508742085286,0.05750667502508004,-0.02285999446362739,0.21443191056417643,0.3173975,2.9975101938487496,0.005187737090722841,400000.0
