q,partition,statistic,max_abs_diff,rel_diff,verdict
1.5,2 x 100,B_absdev,0.0008808251180208032,0.015255806470029972,mc-noise
1.5,2 x 100,B_tail,0.011149999999999993,0.035297739599236086,mc-noise
1.5,2 x 100,C_var,6.175615574477433e-15,8.858967174222085e-13,INVARIANT
1.5,2 x 100,C_absdev,2.4841240175987878e-14,4.1394791823822196e-13,INVARIANT
1.5,2 x 100,C_tail,0.0,0.0,INVARIANT
1.5,4 x 50,mu,4.263256414560601e-14,6.455732473180726e-14,INVARIANT
1.5,4 x 50,C00,3.593479680485956e-15,6.826539969843957e-13,INVARIANT
1.5,4 x 50,A_var,0.01757641190516107,0.571015720341266,CHUNK-DEPENDENT
1.5,4 x 50,A_absdev,0.03562265645307533,0.2548505474051009,CHUNK-DEPENDENT
1.5,4 x 50,A_tail,0.08924999999999994,0.13154704483432803,CHUNK-DEPENDENT
1.5,4 x 50,B_var,0.0001724430599758537,0.03283492188518142,mc-noise
1.5,4 x 50,B_absdev,0.0010663793316504772,0.01846958763375701,mc-noise
1.5,4 x 50,B_tail,0.013249999999999984,0.04194574436680519,mc-noise
1.5,4 x 50,C_var,4.758346494604382e-15,6.825883977216624e-13,INVARIANT
1.5,4 x 50,C_absdev,1.9359513991901167e-14,3.2260186924151934e-13,INVARIANT
1.5,4 x 50,C_tail,0.0,0.0,INVARIANT
1.5,20 x 10,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
1.5,20 x 10,C00,3.552713678800501e-15,6.749096721332572e-13,INVARIANT
1.5,20 x 10,A_var,0.030115156445863413,0.9783696378937945,CHUNK-DEPENDENT
1.5,20 x 10,A_absdev,0.06793941717280108,0.4860501540551758,CHUNK-DEPENDENT
1.5,20 x 10,A_tail,0.20574999999999993,0.3032583134416022,CHUNK-DEPENDENT
1.5,20 x 10,B_var,0.00017013832263560597,0.032396076329184606,mc-noise
1.5,20 x 10,B_absdev,0.0019071190196711663,0.03303111830506342,mc-noise
1.5,20 x 10,B_tail,0.0257,0.08135891548882225,CHUNK-DEPENDENT
1.5,20 x 10,C_var,4.706304790325078e-15,6.751229759456325e-13,INVARIANT
1.5,20 x 10,C_absdev,1.944971961265196e-14,3.2410503207311067e-13,INVARIANT
1.5,20 x 10,C_tail,0.0,0.0,INVARIANT
1.5,200 x 1,mu,4.618527782440651e-14,6.99371017927912e-14,INVARIANT
1.5,200 x 1,C00,3.885780586188048e-15,7.381824538957501e-13,INVARIANT
1.5,200 x 1,A_var,0.03803940085115215,1.235809447091571,CHUNK-DEPENDENT
1.5,200 x 1,A_absdev,0.10006219194184071,0.7158619521967422,CHUNK-DEPENDENT
1.5,200 x 1,A_tail,0.3695,0.544612135196462,CHUNK-DEPENDENT
1.5,200 x 1,B_var,0.0002231776844429309,0.04249531315568982,mc-noise
1.5,200 x 1,B_absdev,0.006699700587155355,0.1160381708851022,CHUNK-DEPENDENT
1.5,200 x 1,B_tail,0.05735000000000001,0.18155384448575707,CHUNK-DEPENDENT
1.5,200 x 1,C_var,5.143455106271233e-15,7.378325188642832e-13,INVARIANT
1.5,200 x 1,C_absdev,2.0691781621451355e-14,3.4480242798502174e-13,INVARIANT
1.5,200 x 1,C_tail,0.0,0.0,INVARIANT
1.8,1 x 200,mu,0.0,0.0,INVARIANT
1.8,1 x 200,C00,0.0,0.0,INVARIANT
1.8,1 x 200,A_var,0.0,0.0,INVARIANT
1.8,1 x 200,A_absdev,0.0,0.0,INVARIANT
1.8,1 x 200,A_tail,0.0,0.0,INVARIANT
1.8,1 x 200,B_var,0.0,0.0,INVARIANT
1.8,1 x 200,B_absdev,0.0,0.0,INVARIANT
1.8,1 x 200,B_tail,0.0,0.0,INVARIANT
1.8,1 x 200,C_var,0.0,0.0,INVARIANT
1.8,1 x 200,C_absdev,0.0,0.0,INVARIANT
1.8,1 x 200,C_tail,0.0,0.0,INVARIANT
1.8,2 x 100,mu,4.263256414560601e-14,6.455732473180726e-14,INVARIANT
1.8,2 x 100,C00,4.6629367034256575e-15,8.858189446749001e-13,INVARIANT
1.8,2 x 100,A_var,0.0009743459966305885,0.1029085065232947,CHUNK-DEPENDENT
1.8,2 x 100,A_absdev,0.003978907304368659,0.051290001506061375,mc-noise
1.8,2 x 100,A_tail,0.02639999999999998,0.057956792552552115,mc-noise
1.8,2 x 100,B_var,0.00014814892394615468,0.028208117811671735,mc-noise
