method,beta1,beta2,nu,d_beta1,d_beta2,d_nu,predmean_max_abs_diff,predmean_rmse,pct_of_range,seconds
L-BFGS-B,3.754181362218244,2.6108618702775983,0.05256315530594998,4.2435528256223876e-05,1.1716399583860948e-06,5.033452492170243e-07,1.0298785046991554e-07,2.4906415610510357e-08,5.700943288474015e-05,0.033865928649902344
Nelder-Mead,3.7542273178577474,2.6108453915141085,0.052563857060637535,3.520111247379276e-06,1.5307123531371758e-05,1.9840943833726588e-07,8.936307882567718e-08,1.9169855950281243e-08,4.94673733012263e-05,0.06807684898376465
