dataset,impl,optim_method,n1,n2,r_beta1,r_beta2,r_nu,py_beta1,py_beta2,py_nu,d_beta1,d_beta2,d_nu,rel_beta1,rel_beta2,predmean_maxabs,predmean_rmse,predmean_corr,pct_of_range,runtime_sec,r_theta_hat,py_theta_hat,d_theta_hat,r_S_2,py_S_2,d_S_2
nuclei,lattice_alg,L-BFGS-B,282,240,26.0388376235267,5679456.51832897,0.0822243107405668,35.504121994444944,23.688848697246602,0.17059531829919153,9.465284370918244,5679432.829480273,0.08837100755862473,0.3635064094553183,0.9999958290289536,0.042575972905780746,0.007971021974221651,0.9933667148925811,10.520469678166254,3.3111660480499268,,,,,,
nuclei,lattice_alg,Nelder-Mead,282,240,26.0388376235267,5679456.51832897,0.0822243107405668,35.50410021154582,23.688623195184572,0.17059365260876788,9.465262588019119,5679432.829705775,0.08836934186820108,0.36350557290111263,0.9999958290686584,0.04257613523732562,0.007971032027905228,0.993366698031545,10.520509790088052,7.0588109493255615,,,,,,
nuclei,paper_fast_gp,L-BFGS-B,282,240,26.0388376235267,5679456.51832897,0.0822243107405668,35.504121994444944,23.688848697246602,0.17059531829919153,9.465284370918244,5679432.829480273,0.08837100755862473,0.3635064094553183,0.9999958290289536,0.04257597290577986,0.00797102197422163,0.9933667148925807,10.520469678166034,3.232018232345581,0.665496951937992,0.6639408959449085,0.001556055993083505,321.008239513506,162.81938256209048,158.18885695141552
nuclei,reconstruct_given_R_params,from_R,282,240,26.0388376235267,5679456.51832897,0.0822243107405668,26.0388376235267,5679456.51832897,0.0822243107405668,0.0,0.0,0.0,0.0,0.0,5.329070518200751e-15,1.2095019066378441e-15,1.0,1.3168066628473593e-12,,0.665496951937992,0.6654969519379891,2.886579864025407e-15,321.008239513506,321.00823951350526,7.389644451905042e-13
whole_cell,lattice_alg,L-BFGS-B,200,200,38046968.0348505,37.9923051734968,0.0022514150548799,34302.031553490946,37.992842698426564,0.002251329070596379,38012666.00329701,0.000537524929761446,8.598428352137033e-08,0.9990984293013291,1.4148257846076158e-05,1.9529460963951806e-06,1.6181147819970446e-07,0.9999999999995013,0.0002246854470485647,2.1086628437042236,,,,,,
whole_cell,lattice_alg,Nelder-Mead,200,200,38046968.0348505,37.9923051734968,0.0022514150548799,81.0114388760423,62.33744019395727,0.001954351503780944,38046887.023411624,24.345135020460468,0.00029706355109895615,0.9999978707517824,0.6407912052002437,0.03524007245153435,0.0034544803061610186,0.9997724344796487,4.054352266768659,4.208069086074829,,,,,,
whole_cell,paper_fast_gp,L-BFGS-B,200,200,38046968.0348505,37.9923051734968,0.0022514150548799,34302.031553490946,37.992842698426564,0.002251329070596379,38012666.00329701,0.000537524929761446,8.598428352137033e-08,0.9990984293013291,1.4148257846076158e-05,1.9529461032785633e-06,1.6181147825588763e-07,0.9999999999995013,0.00022468544784049437,2.131754159927368,0.213070015174074,0.21307002769113872,1.2517064718053916e-08,825.876770483407,825.8687314102353,0.008039073171630662
whole_cell,reconstruct_given_R_params,from_R,200,200,38046968.0348505,37.9923051734968,0.0022514150548799,38046968.0348505,37.9923051734968,0.0022514150548799,0.0,0.0,0.0,0.0,0.0,5.284661597215745e-14,6.758360305186879e-15,0.9999999999999994,6.079976071344331e-12,,0.213070015174074,0.21307001517407728,3.2751579226442118e-15,825.876770483407,825.8767704834102,3.183231456205249e-12
