dataset,start,f_start,f_opt,beta1,beta2,nu,rmse_to_raw,corr_to_raw,maxabs_vs_r_predmean,nfev,success
whole_cell,"paper param_ini (-2,-2,-3)",138787.35176935108,61119.23543901995,34302.031553490946,37.992842698426564,0.002251329070596379,0.004400892580789475,0.9996312528459143,1.9529461032785633e-06,144,True
whole_cell,R's converged point,97819.6427895889,75478.41748813681,49.93600676287049,5679456.518328973,0.0023583382459264864,0.0040515608527085445,0.9996882372635177,0.05571710633348603,40,True
whole_cell,"(0,0,-3)",136599.0670076982,41016.74909223417,81.01082228765232,62.336577241749694,0.0019542930141758156,0.0026179817618269337,0.9998694210767887,0.035239871043410476,68,True
whole_cell,"(1,1,-2)",131405.7721907855,41016.74909228756,81.01079244372352,62.33645932170311,0.001954281660016507,0.002617983829011696,0.9998694208701978,0.03523985502518412,64,True
whole_cell,"(2,2,-2)",116203.52235559319,41016.749092228056,81.01078170269325,62.336539119644996,0.0019542936319806594,0.0026179850692584607,0.9998694207468394,0.035239853101403706,56,True
whole_cell,"(3,3,-2)",86743.54677732717,41016.74909223011,81.01073965668378,62.336531968361335,0.0019542890352483833,0.002617984845709963,0.9998694207690069,0.03523986036122731,60,True
whole_cell,"(4,4,-1)",71594.38428614382,41016.74909223117,81.01074175565967,62.3365502501365,0.0019542956021826046,0.002617986517284692,0.9998694206024434,0.03523985013634609,48,True
whole_cell,"(3.26,3.16,-1.77) near PY opt",81339.71664690619,41016.749092234575,81.01078207395335,62.33652257741976,0.0019542877013764013,0.002617983493084977,0.9998694209039053,0.035239862436167946,52,True
whole_cell,"(-4,-4,-4)",139040.34742470534,67146.99066407932,6160.071855910355,49.022963741148715,5.155198460125281e-06,2.5666339142497225e-05,0.9999999874560949,0.04764278605835312,48,True
whole_cell,"(5,5,0)",103200.32073772085,41016.74909223222,81.01077068983444,62.33658581802742,0.001954288872245313,0.002617981246807903,0.9998694211280515,0.03523988254088567,52,True
whole_cell,random 0,130954.83941809062,61119.23543838698,40987.707320022484,37.99260900957449,0.0022513180447460432,0.004400920880529931,0.9996312481011106,1.5181567621924685e-06,72,True
whole_cell,random 1,138993.7184141344,61119.23543842432,509392259.10621935,37.992654028923745,0.0022513336695661563,0.004400922619881732,0.9996312478120445,1.4863847591639612e-06,56,True
whole_cell,random 2,138392.74514610443,137433.16684808503,618526.8941815112,5.079136926825462e-06,9.558251325587372,0.15372363499924288,0.3150221553845059,0.6748448585386736,52,True
whole_cell,random 3,137291.95397315867,61119.23543840303,182688.3589690723,37.99260828891545,0.0022513302391981424,0.004400927481350252,0.9996312469967138,1.4121701205072057e-06,60,True
whole_cell,random 4,138438.65573413306,75478.41748753973,49.935936409801435,80904.47829082693,0.0023583978939631847,0.004051612833635574,0.999688229278011,0.055717279077993564,76,True
whole_cell,random 5,135054.31212813334,41016.74909224604,81.01083185900656,62.336610021446624,0.001954291847354356,0.002617979425529296,0.999869421309837,0.035239886876355375,76,True
