method,beta1,beta2,nu,d_beta1,d_beta2,d_nu,predmean_max_abs_diff,predmean_rmse,pct_of_range,seconds
L-BFGS-B,15.497554151258598,11.484509061335878,0.1877489182592379,2.1740418603144462e-05,6.438784157758448e-05,1.078989571023925e-07,1.1169103597552521e-07,2.019538478520069e-08,4.117022084753325e-05,0.21094703674316406
Nelder-Mead,15.497335750929345,11.484126354317434,0.1877403803457082,0.00024014074785583261,0.0003183191768663107,8.64581248680163e-06,5.211434372931478e-07,9.618422705077986e-08,0.00019209769359918055,0.5726149082183838
