q,partition,statistic,mean_value,max_abs_diff,rel_diff,event_shape
1.8,10 x 10,prob_B,0.40233333333333327,0.121,0.38184400147267655,"(10, 3)"
1.8,100 x 1,norm_of_mean,0.03881557552149246,4.804490139065365e-14,1.2377737736764487e-12,"(1, 3)"
1.8,100 x 1,mean_of_norm_A,1.0761391012866115,0.030077790013468553,0.028168777057632523,"(1, 3)"
1.8,100 x 1,mean_of_norm_B,1.0305779466120484,0.2228626597165757,0.2695862835275295,"(1, 3)"
1.8,100 x 1,prob_A,0.4944233333333333,0.03366666666666668,0.0688883735523211,"(1, 3)"
1.8,100 x 1,prob_B,0.4643966666666667,0.16899999999999998,0.5333193078420028,"(1, 3)"
2.0,1 x 100,norm_of_mean,0.038815575521486595,0.0,0.0,"(100, 3)"
2.0,1 x 100,mean_of_norm_A,1.0009734416562155,0.0,0.0,"(100, 3)"
2.0,1 x 100,mean_of_norm_B,1.0009734416562155,0.0,0.0,"(100, 3)"
2.0,1 x 100,prob_A,0.4566266666666667,0.0,0.0,"(100, 3)"
2.0,1 x 100,prob_B,0.4566266666666667,0.0,0.0,"(100, 3)"
2.0,2 x 50,norm_of_mean,0.03881557552149201,7.423228698399953e-14,1.91243556192817e-12,"(50, 3)"
2.0,2 x 50,mean_of_norm_A,1.0020088965932725,0.025980258855089033,0.02595499318353739,"(50, 3)"
2.0,2 x 50,mean_of_norm_B,1.0020088965932725,0.025980258855089033,0.02595499318353739,"(50, 3)"
2.0,2 x 50,prob_A,0.45720333333333335,0.02566666666666667,0.05620930300464275,"(50, 3)"
2.0,2 x 50,prob_B,0.45720333333333335,0.02566666666666667,0.05620930300464275,"(50, 3)"
2.0,10 x 10,norm_of_mean,0.03881557552149232,7.538414337204813e-14,1.9421106697315046e-12,"(10, 3)"
2.0,10 x 10,mean_of_norm_A,1.0036742545428061,0.034388714159589884,0.034355271307388684,"(10, 3)"
2.0,10 x 10,mean_of_norm_B,1.0036742545428057,0.03438871415958944,0.034355271307388247,"(10, 3)"
2.0,10 x 10,prob_A,0.4572533333333333,0.03633333333333333,0.07956901334423452,"(10, 3)"
2.0,10 x 10,prob_B,0.4572533333333333,0.03633333333333333,0.07956901334423452,"(10, 3)"
2.0,100 x 1,norm_of_mean,0.03881557552149246,4.804490139065365e-14,1.2377737736764487e-12,"(1, 3)"
2.0,100 x 1,mean_of_norm_A,1.0011774216336642,0.03226708629982433,0.03223570672008545,"(1, 3)"
2.0,100 x 1,mean_of_norm_B,1.0011774216336642,0.032267086299824554,0.032235706720085675,"(1, 3)"
2.0,100 x 1,prob_A,0.45472999999999997,0.02366666666666667,0.051829357315969285,"(1, 3)"
2.0,100 x 1,prob_B,0.45472999999999997,0.02366666666666667,0.051829357315969285,"(1, 3)"
