dataset,cell,ap50,ap75,fg_dice,n_pred,merged,split,mean_matched_iou
nuclei,B*prop,0.040033361134278564,0.007269789983844911,0.7619482404019277,917,7,49,0.3372354254546914
nuclei,D*prop,0.5985037406483791,0.21401515151515152,0.8503934115334899,311,33,9,0.6342756108497394
whole_cell,B*prop,0.29635761589403975,0.07407407407407407,0.8140654390170461,380,105,67,0.4790519925985913
whole_cell,D*prop,0.41788321167883213,0.07766990291262135,0.8584111595558307,374,89,62,0.5311501964102936
