dataset,region_class,mean_norm_of_mean_grad,mean_grad_posterior_sd,median_sd_over_mean,n_query
nuclei,A_merged_interface,2.9657811645307324,0.8936752394856874,0.33563671777249926,1620
nuclei,D_interior,1.8591261764229985,0.8936752394856874,0.6877810164101066,1620
whole_cell,A_merged_interface,15.945248605257802,1.6345871184252465,0.11463386907697147,1620
whole_cell,D_interior,18.75491785761641,1.6345871184252465,0.10306503422740745,1620
