dataset,statistic,mean_merged,mean_separated,mean_interior,mean_outer,contrast_merged_minus_interior,cohen_d,auc,contrast_merged_minus_separated,n_merged,n_separated,n_interior
nuclei,S1,2.8960912722377223,2.2999373404703825,2.000483745191741,3.7097157286041575,0.8956075270459811,0.7785035289028278,0.7438271604938271,0.5961539317673399,27,33,60
nuclei,S2_q2.0,3.0072994685481182,2.444743021958292,2.184633617255577,3.782004608604648,0.8226658512925411,0.7522610034554016,0.7419753086419754,0.5625564465898263,27,33,60
nuclei,S2_q1.5,3.073373475353865,2.525015355977362,2.281945619207987,3.827417372975158,0.7914278561458779,0.7416164534188004,0.741358024691358,0.5483581193765028,27,33,60
nuclei,S3_p90_q2.0,0.09488022404746345,0.04056459085976413,0.05569220164609054,0.16658950617283952,0.03918802240137291,0.3061911244865467,0.6327160493827161,0.054315633187699316,27,33,60
nuclei,S3_p95_q2.0,0.04372054767839496,0.011204374718185474,0.03084104938271605,0.04149444444444444,0.012879498295678908,0.13528693657463525,0.6246913580246913,0.032516172960209484,27,33,60
nuclei,S3_p99_q2.0,0.010726011607199002,0.00038562589979147723,0.009257098765432098,0.00011327160493827162,0.0014689128417669037,0.030128543827391302,0.6567901234567901,0.010340385707407524,27,33,60
nuclei,S3_p90_q1.5,0.10441305078247977,0.04698753212074898,0.059746646090534976,0.18184043209876544,0.04466640469194479,0.3455685877770216,0.6679012345679012,0.05742551866173079,27,33,60
nuclei,S3_p95_q1.5,0.04924773038017253,0.014766844965907973,0.03320293209876543,0.05580586419753086,0.016044798281407098,0.1677475021643432,0.6444444444444445,0.034480885414264556,27,33,60
nuclei,S3_p99_q1.5,0.011829035379691466,0.000764770600841766,0.010005956790123456,0.0014376543209876542,0.0018230785895680095,0.03686927971829071,0.5777777777777777,0.011064264778849699,27,33,60
nuclei,base_grad_raw,5.8880575488767555,5.717657930164077,5.601896376213998,5.728905647016515,0.28616117266275776,0.21171037750019453,0.5530864197530864,0.17039961871267817,27,33,60
nuclei,base_grad_fastgp,2.7400887396774007,2.180407301546816,1.977898568444368,3.4954836615047506,0.7621901712330328,0.6725852960917701,0.7154320987654321,0.5596814381305846,27,33,60
nuclei,base_grad_dist,0.887572035921795,0.6406786011437956,0.832671023420486,0.8840315968520697,0.054901012501308966,0.37418972602093215,0.6462962962962963,0.2468934347779994,27,33,60
whole_cell,S1,14.795526899671838,13.444525179291174,20.483881380673672,13.90540830155765,-5.688354481001834,-0.9577413320196594,0.24066666666666667,1.3510017203806637,50,56,60
whole_cell,S2_q2.0,14.865412924619726,13.537321253229068,20.548857560723985,13.989004298852148,-5.683444636104259,-0.9617187623637685,0.24,1.3280916713906574,50,56,60
whole_cell,S2_q1.5,14.909788994033393,13.595032635036493,20.587362308169734,14.040221081288731,-5.677573314136341,-0.9634724089223629,0.23966666666666667,1.3147563589969007,50,56,60
whole_cell,S3_p90_q2.0,0.047838098285484645,0.05909073750237729,0.20323839506172844,0.0616221536351166,-0.15540029677624378,-1.1003423951016564,0.18533333333333332,-0.011252639216892645,50,56,60
whole_cell,S3_p95_q2.0,0.018334537708773736,0.02793977654102835,0.11365467078189301,0.03274883401920439,-0.09532013307311928,-0.9272413638678053,0.21133333333333335,-0.009605238832254615,50,56,60
whole_cell,S3_p99_q2.0,0.003714033870967742,0.0008103013392857144,0.028028106995884774,0.006741838134430727,-0.024314073124917034,-0.5492947539088483,0.4573333333333333,0.002903732531682028,50,56,60
whole_cell,S3_p90_q1.5,0.04849530955618579,0.0598625848015247,0.2037841975308642,0.062133950617283946,-0.15528888797467838,-1.1007460205434838,0.18666666666666668,-0.011367275245338905,50,56,60
whole_cell,S3_p95_q1.5,0.018748646341270967,0.02809239599907154,0.11448487654320987,0.03290980795610425,-0.0957362302019389,-0.9318269851059444,0.195,-0.009343749657800573,50,56,60
whole_cell,S3_p99_q1.5,0.003745160215053764,0.0008608723523500308,0.02828630658436214,0.006593141289437586,-0.024541146369308375,-0.5553528458351871,0.36466666666666664,0.0028842878627037332,50,56,60
whole_cell,base_grad_raw,14.764354114905473,13.460570115850803,20.077418665419422,13.628665145757278,-5.31306455051395,-0.9360883224199217,0.24266666666666667,1.3037839990546694,50,56,60
whole_cell,base_grad_fastgp,14.47375077401066,13.294294618243255,19.97434432955451,13.468494690639192,-5.500593555543848,-0.9717819769126019,0.23633333333333334,1.1794561557674061,50,56,60
whole_cell,base_grad_dist,0.8644032722440904,0.5997311109398654,0.816904274034874,0.5028902532338675,0.047498998209216436,0.40546298739021924,0.6466666666666666,0.264672161304225,50,56,60
