dataset,method,q,label,n_true,n_pred,ap50,ap75,ap90,mean_matched_iou,tp50,fp50,fn50,runtime_total_s,runtime_recon_s,recon_rmse_vs_raw,threshold_pct_mean
nuclei,imagej,,ImageJ,330,481,0.45863309352517984,0.2515432098765432,0.030495552731893267,0.6693877428147391,255,226,75,0.0,0.0,,
nuclei,raw,,Raw,330,819,0.021333333333333333,0.004370629370629371,0.0,0.22118914976652576,24,795,306,3.3012428283691406,0.0003604888916015625,0.0,0.7414285714285714
nuclei,gp_legacy,2.0,GP (legacy),330,237,0.016129032258064516,0.0017667844522968198,0.0,0.07038452861899329,9,228,321,203.58583188056946,203.2744505405426,10.289302917856432,0.90125
nuclei,gp,2.0,GP,330,750,0.03151862464183381,0.002785515320334262,0.0,0.2770385505603116,33,717,297,212.45461916923523,211.71506524085999,7.165357728118014,0.748
nuclei,qep,2.0,QEP q=2,330,714,0.025540275049115914,0.002881844380403458,0.0,0.2643790689048084,26,688,304,212.85575413703918,212.14528346061707,7.169375579901565,0.75125
nuclei,qep,1.5,QEP q=1.5,330,685,0.034658511722731905,0.003956478733926805,0.0,0.2580542296211626,34,651,296,251.0118329524994,250.36968874931335,6.3745814909341485,0.75375
whole_cell,imagej,,ImageJ,403,410,0.3415841584158416,0.002466091245376079,0.0,0.4775652447562435,207,203,196,0.0,0.0,,
whole_cell,raw,,Raw,403,616,0.12472406181015452,0.012922465208747515,0.0,0.3792647389032144,113,503,290,0.40393590927124023,9.131431579589844e-05,0.0,0.22624999999999998
whole_cell,gp_legacy,2.0,GP (legacy),403,647,0.11583421891604676,0.01842870999030068,0.0009532888465204957,0.3997815738283223,109,538,294,109.13510394096375,108.83327436447144,14.182617359989488,0.23111111111111113
whole_cell,gp,2.0,GP,403,638,0.1157556270096463,0.017595307917888565,0.0,0.37463698837931747,108,530,295,124.2957489490509,123.96652245521545,10.49887670376323,0.23625000000000002
whole_cell,qep,2.0,QEP q=2,403,632,0.12012987012987013,0.015701668302257114,0.0,0.37404897974852225,111,521,292,124.18107008934021,123.86757397651672,10.49487312286739,0.23750000000000002
whole_cell,qep,1.5,QEP q=1.5,403,628,0.13296703296703297,0.02485089463220676,0.001943634596695821,0.40347990583413973,121,507,282,151.99610900878906,151.71209239959717,11.916234237487616,0.24125000000000002
